index,GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),STARTYEAR,ENDYEAR,COUNTRY (DISPLAY),COUNTRY (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
0,#indicator+code,#indicator+name,#indicator+url,#status+code,#status+name,,,#date+year,,#region+code,#region+name,,#country+code,#date+year+start,#date+year+end,#country+name,,,#indicator+value+num,,,,,
1,GASPRP,Reporting countries,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5552,PUBLISHED,Published,,2009.0,2009,,WPR,Western Pacific,,PHL,2009,2009,Philippines,,Yes,,,,,,
2,GASPRP,Reporting countries,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5552,PUBLISHED,Published,,2010.0,2010,,WPR,Western Pacific,,PHL,2010,2010,Philippines,,Yes,,,,,,
3,GASPRP,Reporting countries,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5552,PUBLISHED,Published,,2011.0,2011,,WPR,Western Pacific,,PHL,2011,2011,Philippines,,Yes,,,,,,
4,GASPRP,Reporting countries,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5552,PUBLISHED,Published,,2012.0,2012,,WPR,Western Pacific,,PHL,2012,2012,Philippines,,Yes,,,,,,
5,GASPRP,Reporting countries,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5552,PUBLISHED,Published,,2013.0,2013,,WPR,Western Pacific,,PHL,2013,2013,Philippines,,Yes,,,,,,
6,GASPRP,Reporting countries,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5552,PUBLISHED,Published,,2014.0,2014,,WPR,Western Pacific,,PHL,2014,2014,Philippines,,Yes,,,,,,
7,GASPRP,Reporting countries,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5552,PUBLISHED,Published,,2015.0,2015,,WPR,Western Pacific,,PHL,2015,2015,Philippines,,Yes,,,,,,
8,GASPRP,Reporting countries,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5552,PUBLISHED,Published,,2016.0,2016,,WPR,Western Pacific,,PHL,2016,2016,Philippines,,Yes,,,,,,
9,GASPRSAZM,Proportion of isolates with resistance to azithromycin reported to WHO-GASP,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5550,PUBLISHED,Published,,2013.0,2013,,WPR,Western Pacific,,PHL,2013,2013,Philippines,,0.00,0.00000,,,,,
10,GASPRSAZM,Proportion of isolates with resistance to azithromycin reported to WHO-GASP,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5550,PUBLISHED,Published,,2014.0,2014,,WPR,Western Pacific,,PHL,2014,2014,Philippines,,0.00,0.00000,,,,,
11,GASPRSAZM,Proportion of isolates with resistance to azithromycin reported to WHO-GASP,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5550,PUBLISHED,Published,,2015.0,2015,,WPR,Western Pacific,,PHL,2015,2015,Philippines,,0.00,0.00000,,,,,
12,GASPRSAZM,Proportion of isolates with resistance to azithromycin reported to WHO-GASP,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5550,PUBLISHED,Published,,2016.0,2016,,WPR,Western Pacific,,PHL,2016,2016,Philippines,,0.00,0.00000,,,,,
13,GASPRSCIP,Proportion of isolates with resistance to ciprofloxacin reported to WHO-GASP,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5550,PUBLISHED,Published,,2009.0,2009,,WPR,Western Pacific,,PHL,2009,2009,Philippines,,97.50,97.50000,,,,,
14,GASPRSCIP,Proportion of isolates with resistance to ciprofloxacin reported to WHO-GASP,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5550,PUBLISHED,Published,,2010.0,2010,,WPR,Western Pacific,,PHL,2010,2010,Philippines,,96.61,96.61017,,,,,
15,GASPRSCIP,Proportion of isolates with resistance to ciprofloxacin reported to WHO-GASP,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5550,PUBLISHED,Published,,2011.0,2011,,WPR,Western Pacific,,PHL,2011,2011,Philippines,,94.12,94.11765,,,,,
16,GASPRSCIP,Proportion of isolates with resistance to ciprofloxacin reported to WHO-GASP,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5550,PUBLISHED,Published,,2012.0,2012,,WPR,Western Pacific,,PHL,2012,2012,Philippines,,95.65,95.65217,,,,,
17,GASPRSCIP,Proportion of isolates with resistance to ciprofloxacin reported to WHO-GASP,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5550,PUBLISHED,Published,,2013.0,2013,,WPR,Western Pacific,,PHL,2013,2013,Philippines,,93.70,93.70079,,,,,
18,GASPRSCIP,Proportion of isolates with resistance to ciprofloxacin reported to WHO-GASP,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5550,PUBLISHED,Published,,2014.0,2014,,WPR,Western Pacific,,PHL,2014,2014,Philippines,,96.05,96.05263,,,,,
19,GASPRSCIP,Proportion of isolates with resistance to ciprofloxacin reported to WHO-GASP,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5550,PUBLISHED,Published,,2015.0,2015,,WPR,Western Pacific,,PHL,2015,2015,Philippines,,93.75,93.75000,,,,,
20,GASPRSCIP,Proportion of isolates with resistance to ciprofloxacin reported to WHO-GASP,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5550,PUBLISHED,Published,,2016.0,2016,,WPR,Western Pacific,,PHL,2016,2016,Philippines,,81.56,81.56425,,,,,
21,GASPRSCRO,Proportion of isolates with decreased susceptibility or resistance (DS/R) to ceftriaxone reported to WHO-GASP,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5550,PUBLISHED,Published,,2009.0,2009,,WPR,Western Pacific,,PHL,2009,2009,Philippines,,0.00,0.00000,,,,,
22,GASPRSCRO,Proportion of isolates with decreased susceptibility or resistance (DS/R) to ceftriaxone reported to WHO-GASP,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5550,PUBLISHED,Published,,2010.0,2010,,WPR,Western Pacific,,PHL,2010,2010,Philippines,,0.00,0.00000,,,,,
23,GASPRSCRO,Proportion of isolates with decreased susceptibility or resistance (DS/R) to ceftriaxone reported to WHO-GASP,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5550,PUBLISHED,Published,,2011.0,2011,,WPR,Western Pacific,,PHL,2011,2011,Philippines,,0.00,0.00000,,,,,
24,GASPRSCRO,Proportion of isolates with decreased susceptibility or resistance (DS/R) to ceftriaxone reported to WHO-GASP,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5550,PUBLISHED,Published,,2012.0,2012,,WPR,Western Pacific,,PHL,2012,2012,Philippines,,0.00,0.00000,,,,,
25,GASPRSCRO,Proportion of isolates with decreased susceptibility or resistance (DS/R) to ceftriaxone reported to WHO-GASP,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5550,PUBLISHED,Published,,2013.0,2013,,WPR,Western Pacific,,PHL,2013,2013,Philippines,,0.00,0.00000,,,,,
26,GASPRSCRO,Proportion of isolates with decreased susceptibility or resistance (DS/R) to ceftriaxone reported to WHO-GASP,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5550,PUBLISHED,Published,,2014.0,2014,,WPR,Western Pacific,,PHL,2014,2014,Philippines,,0.00,0.00000,,,,,
