index,GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),WORLDBANKINCOMEGROUP (CODE),STARTYEAR,ENDYEAR,WORLDBANKINCOMEGROUP (DISPLAY),WORLDBANKINCOMEGROUP (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
0,#indicator+code,#indicator+name,#indicator+url,#status+code,#status+name,,,#date+year,,#region+code,#region+name,,,#date+year+start,#date+year+end,,,#country+code,#country+name,,,#indicator+value+num,,,,,
1,WHS9_CS,Cellular subscribers (per 100 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2974,PUBLISHED,Published,,2010,2010,,WPR,Western Pacific,,,2010,2010,,,PHL,Philippines,,86.0,86.00000,,,,,
2,WHS10_2,Number of cause-of-death registration years available,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/83,PUBLISHED,Published,,1950-2010,,,WPR,Western Pacific,,WB_LMI,,,Lower-middle-income,,PHL,Philippines,,31.0,31.00000,,,,,
3,WHS10_3,Number of national population surveys - child anthropometry,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/83,PUBLISHED,Published,,2005-2011,,,WPR,Western Pacific,,WB_LMI,,,Lower-middle-income,,PHL,Philippines,,1.0,1.00000,,,,,
4,WHS10_4,Number of national population surveys - child mortality,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/83,PUBLISHED,Published,,2000-2011,,,WPR,Western Pacific,,WB_LMI,,,Lower-middle-income,,PHL,Philippines,,3.0,3.00000,,,,,
5,WHS10_5,Number of national population surveys - maternal mortality,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/83,PUBLISHED,Published,,2000-2011,,,WPR,Western Pacific,,WB_LMI,,,Lower-middle-income,,PHL,Philippines,,1.0,1.00000,,,,,
6,WHS10_6,Number of national population surveys -  HIV prevalence,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/83,PUBLISHED,Published,,2000-2011,,,WPR,Western Pacific,,WB_LMI,,,Lower-middle-income,,PHL,Philippines,,0.0,0.00000,,,,,
7,WHS10_7,Number of national population surveys -  adult health,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/83,PUBLISHED,Published,,2000-2010,,,WPR,Western Pacific,,WB_LMI,,,Lower-middle-income,,PHL,Philippines,,1.0,1.00000,,,,,
8,WHS9_CS,Cellular subscribers (per 100 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2974,PUBLISHED,Published,,2011,2011,,WPR,Western Pacific,,,2011,2011,,,PHL,Philippines,,99.0,99.30000,,,,,
9,CCO_1,Poverty headcount ratio at $1.25 a day (PPP) (% of population),,PUBLISHED,Published,,2009,2009,,WPR,Western Pacific,,,2009,2009,,,PHL,Philippines,,18.4,18.40000,,,,,
