index,GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),STARTYEAR,ENDYEAR,COUNTRY (DISPLAY),COUNTRY (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
0,#indicator+code,#indicator+name,#indicator+url,#status+code,#status+name,,,#date+year,,#region+code,#region+name,,#country+code,#date+year+start,#date+year+end,#country+name,,,#indicator+value+num,,,,,
1,DEVICES13,Type of nomenclature system,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2995,PUBLISHED,Published,,2010.0,2010,,WPR,Western Pacific,,PHL,2010,2010,Philippines,,None,0.00000,,,,,
2,DEVICES15,Health technology (medical device) national policy,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3018,PUBLISHED,Published,,2010.0,2010,,WPR,Western Pacific,,PHL,2010,2010,Philippines,,No,0.00000,,,,,
3,DEVICES16,Unit in the Ministry of Health responsible for the management of medical devices,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3019,PUBLISHED,Published,,2010.0,2010,,WPR,Western Pacific,,PHL,2010,2010,Philippines,,Yes,0.00000,,,,,
4,DEVICES17,Procurement of medical devices carried out at the national level,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3020,PUBLISHED,Published,,2010.0,2010,,WPR,Western Pacific,,PHL,2010,2010,Philippines,,No,0.00000,,,,,
5,DEVICES18,Availability of national list of approved medical devices for procurement or reimbursement,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3021,PUBLISHED,Published,,2010.0,2010,,WPR,Western Pacific,,PHL,2010,2010,Philippines,,Yes,0.00000,,,,,
6,DEVICES19,"National guidelines, policies or recommendations on the procurement of medical devices",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3022,PUBLISHED,Published,,2010.0,2010,,WPR,Western Pacific,,PHL,2010,2010,Philippines,,Yes,0.00000,,,,,
7,DEVICES20,Availability of technical specifications of medical devices to support procurement or donations,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3002,PUBLISHED,Published,,2010.0,2010,,WPR,Western Pacific,,PHL,2010,2010,Philippines,,Yes,0.00000,,,,,
8,DEVICES06,Availability of national standards or recommended lists of medical devices,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3015,PUBLISHED,Published,,2010.0,2010,,WPR,Western Pacific,,PHL,2010,2010,Philippines,,For different healthcare facilities and specific procedures,0.00000,,,,,
9,DEVICES07,Types of lists recommending health technology for high burden diseases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3016,PUBLISHED,Published,,2010.0,2010,,WPR,Western Pacific,,PHL,2010,2010,Philippines,,No list available,0.00000,,,,,
10,DEVICES17,Procurement of medical devices carried out at the national level,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3020,PUBLISHED,Published,,2013.0,2013,,WPR,Western Pacific,,PHL,2013,2013,Philippines,,No,,,,,,
11,DEVICES18,Availability of national list of approved medical devices for procurement or reimbursement,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3021,PUBLISHED,Published,,2013.0,2013,,WPR,Western Pacific,,PHL,2013,2013,Philippines,,Yes,,,,,,
12,DEVICES19,"National guidelines, policies or recommendations on the procurement of medical devices",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3022,PUBLISHED,Published,,2013.0,2013,,WPR,Western Pacific,,PHL,2013,2013,Philippines,,Yes,,,,,,
13,DEVICES20,Availability of technical specifications of medical devices to support procurement or donations,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3002,PUBLISHED,Published,,2013.0,2013,,WPR,Western Pacific,,PHL,2013,2013,Philippines,,Yes,,,,,,
14,DEVICES15,Health technology (medical device) national policy,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3018,PUBLISHED,Published,,2013.0,2013,,WPR,Western Pacific,,PHL,2013,2013,Philippines,,No,,,,,,
15,DEVICES16,Unit in the Ministry of Health responsible for the management of medical devices,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3019,PUBLISHED,Published,,2013.0,2013,,WPR,Western Pacific,,PHL,2013,2013,Philippines,,Yes,,,,,,
16,DEVICES14,Use of nomenclature system,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3017,PUBLISHED,Published,,2013.0,2013,,WPR,Western Pacific,,PHL,2013,2013,Philippines,,No,,,,,,
17,DEVICES13,Type of nomenclature system,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2995,PUBLISHED,Published,,2013.0,2013,,WPR,Western Pacific,,PHL,2013,2013,Philippines,,None,,,,,,
18,DEVICES06,Availability of national standards or recommended lists of medical devices,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3015,PUBLISHED,Published,,2013.0,2013,,WPR,Western Pacific,,PHL,2013,2013,Philippines,,For different healthcare facilities and specific procedures,,,,,,
19,DEVICES07,Types of lists recommending health technology for high burden diseases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3016,PUBLISHED,Published,,2013.0,2013,,WPR,Western Pacific,,PHL,2013,2013,Philippines,,No list available,,,,,,
