index,GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),STARTYEAR,ENDYEAR,COUNTRY (DISPLAY),COUNTRY (URL),GOEQUESTION (CODE),GOEQUESTION (DISPLAY),GOEQUESTION (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
0,#indicator+code,#indicator+name,#indicator+url,#status+code,#status+name,,,#date+year,,#region+code,#region+name,,#country+code,#date+year+start,#date+year+end,#country+name,,,,,,#indicator+value+num,,,,,
1,GOE_Q022,Institutions offer in-service training to health professionals on ICT for health,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4773,PUBLISHED,Published,,2015.0,2015,,WPR,Western Pacific,,PHL,2015,2015,Philippines,,,,,Yes,,,,,,
2,GOE_Q010,Public-private partnerships for eHealth,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4768,PUBLISHED,Published,,2015.0,2015,,WPR,Western Pacific,,PHL,2015,2015,Philippines,,GOEQUESTION002,Source of funding for eHealth,,Yes,,,,,,
3,GOE_Q012,Proportion of public funding,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4770,PUBLISHED,Published,,2015.0,2015,,WPR,Western Pacific,,PHL,2015,2015,Philippines,,GOEQUESTION004,Proportion of funding in the past 2 years (2013-2015),,Very high - more than 75% of funding,,,,,,
4,GOE_Q014,Proportion of donor/non public development funding,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4770,PUBLISHED,Published,,2015.0,2015,,WPR,Western Pacific,,PHL,2015,2015,Philippines,,GOEQUESTION004,Proportion of funding in the past 2 years (2013-2015),,Low - less than 25% of funding,,,,,,
5,GOE_Q002,strategy refers to the use of ICT to support UHC,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4761,PUBLISHED,Published,,2015.0,2015,,WPR,Western Pacific,,PHL,2015,2015,Philippines,,GOEQUESTION001,Country has a national policy or strategy,,Yes,,,,,,
6,GOE_Q017,Government-supported health internet sites provide information in multiple languages,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4771,PUBLISHED,Published,,2015.0,2015,,WPR,Western Pacific,,PHL,2015,2015,Philippines,,,,,No,,,,,,
7,GOE_Q018,Tertiary institutions provide students of health sciences with training on eHealth,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4772,PUBLISHED,Published,,2015.0,2015,,WPR,Western Pacific,,PHL,2015,2015,Philippines,,,,,Yes,,,,,,
8,GOE_Q006,National  health information system (HIS) policy or strategy,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4764,PUBLISHED,Published,,2015.0,2015,,WPR,Western Pacific,,PHL,2015,2015,Philippines,,GOEQUESTION001,Country has a national policy or strategy,,Yes,,,,,,
9,GOE_Q008,Private funding for eHealth,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4766,PUBLISHED,Published,,2015.0,2015,,WPR,Western Pacific,,PHL,2015,2015,Philippines,,GOEQUESTION002,Source of funding for eHealth,,Yes,,,,,,
10,GOE_Q007,Public funding for eHealth,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4765,PUBLISHED,Published,,2015.0,2015,,WPR,Western Pacific,,PHL,2015,2015,Philippines,,GOEQUESTION002,Source of funding for eHealth,,Yes,,,,,,
11,GOE_Q011,Strategy implementation funding available for eHealth,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4769,PUBLISHED,Published,,2015.0,2015,,WPR,Western Pacific,,PHL,2015,2015,Philippines,,GOEQUESTION003,Availability of funds for eHealth strategy implementation,,Yes,,,,,,
12,GOE_Q015,Proportion ofpublic private partnerships funding,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4770,PUBLISHED,Published,,2015.0,2015,,WPR,Western Pacific,,PHL,2015,2015,Philippines,,GOEQUESTION004,Proportion of funding in the past 2 years (2013-2015),,Low - less than 25% of funding,,,,,,
13,GOE_Q004,National eHealth strategy refers to objectives of UHC,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4763,PUBLISHED,Published,,2015.0,2015,,WPR,Western Pacific,,PHL,2015,2015,Philippines,,GOEQUESTION001,Country has a national policy or strategy,,Yes,,,,,,
14,GOE_Q003,National eHealth strategy,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4762,PUBLISHED,Published,,2015.0,2015,,WPR,Western Pacific,,PHL,2015,2015,Philippines,,GOEQUESTION001,Country has a national policy or strategy,,Yes,,,,,,
15,GOE_Q009,Donor/ non-public development funding for eHealth,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4767,PUBLISHED,Published,,2015.0,2015,,WPR,Western Pacific,,PHL,2015,2015,Philippines,,GOEQUESTION002,Source of funding for eHealth,,Yes,,,,,,
16,GOE_Q001,National universal health coverage strategy,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4760,PUBLISHED,Published,,2015.0,2015,,WPR,Western Pacific,,PHL,2015,2015,Philippines,,GOEQUESTION001,Country has a national policy or strategy,,Yes,,,,,,
17,GOE_Q013,Proportion of private funding,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4770,PUBLISHED,Published,,2015.0,2015,,WPR,Western Pacific,,PHL,2015,2015,Philippines,,GOEQUESTION004,Proportion of funding in the past 2 years (2013-2015),,Low - less than 25% of funding,,,,,,
18,GOE_Q060,Effectiveness,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4779,PUBLISHED,Published,,2015.0,2015,,WPR,Western Pacific,,PHL,2015,2015,Philippines,,GOEQUESTION008,Barriers to implementing mHealth,,Extremely important barrier,,,,,,
19,GOE_Q058,Infrastructure,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4779,PUBLISHED,Published,,2015.0,2015,,WPR,Western Pacific,,PHL,2015,2015,Philippines,,GOEQUESTION008,Barriers to implementing mHealth,,Extremely important barrier,,,,,,
20,GOE_Q065,Priorities,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4779,PUBLISHED,Published,,2015.0,2015,,WPR,Western Pacific,,PHL,2015,2015,Philippines,,GOEQUESTION008,Barriers to implementing mHealth,,Not a barrier,,,,,,
21,GOE_Q028,mHealth programmes are sponsored by government,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4774,PUBLISHED,Published,,2015.0,2015,,WPR,Western Pacific,,PHL,2015,2015,Philippines,,GOEQUESTION005,mHealth programmes are being sponsored by government,,Yes,,,,,,
22,GOE_Q030_1,Regulating mobile devices and software,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4775,PUBLISHED,Published,,2015.0,2015,,WPR,Western Pacific,,PHL,2015,2015,Philippines,,GOEQUESTION007,Role of authorities in development and adoption of mHealth,,No,,,,,,
23,GOE_Q064,Policy,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4779,PUBLISHED,Published,,2015.0,2015,,WPR,Western Pacific,,PHL,2015,2015,Philippines,,GOEQUESTION008,Barriers to implementing mHealth,,Moderately important barrier,,,,,,
24,GOE_Q062,Demand,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4779,PUBLISHED,Published,,2015.0,2015,,WPR,Western Pacific,,PHL,2015,2015,Philippines,,GOEQUESTION008,Barriers to implementing mHealth,,Moderately important barrier,,,,,,
