index,GHO (CODE),GHO (DISPLAY),GHO (URL),DATASOURCE (CODE),DATASOURCE (DISPLAY),DATASOURCE (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),STARTYEAR,ENDYEAR,REGION (DISPLAY),REGION (URL),WORLDBANKINCOMEGROUP (CODE),WORLDBANKINCOMEGROUP (DISPLAY),WORLDBANKINCOMEGROUP (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
0,#indicator+code,#indicator+name,#indicator+url,,#meta+source,,#status+code,#status+name,,,#date+year,,#region+code,#date+year+start,#date+year+end,#region+name,,,,,#country+code,#country+name,,,#indicator+value+num,,,,,
1,WHS7_103,Private prepaid plans as a percentage of private expenditure on health,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/120,NHA_PHL,Philippines note,,PUBLISHED,Published,,1995.0,1995,,WPR,1995,1995,Western Pacific,,WB_LMI,Lower-middle-income,,PHL,Philippines,,6.16,6.16228,,,,,
2,WHS7_103,Private prepaid plans as a percentage of private expenditure on health,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/120,NHA_PHL,Philippines note,,PUBLISHED,Published,,1996.0,1996,,WPR,1996,1996,Western Pacific,,WB_LMI,Lower-middle-income,,PHL,Philippines,,6.65,6.64610,,,,,
3,WHS7_103,Private prepaid plans as a percentage of private expenditure on health,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/120,NHA_PHL,Philippines note,,PUBLISHED,Published,,1997.0,1997,,WPR,1997,1997,Western Pacific,,WB_LMI,Lower-middle-income,,PHL,Philippines,,7.72,7.72272,,,,,
4,WHS7_103,Private prepaid plans as a percentage of private expenditure on health,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/120,NHA_PHL,Philippines note,,PUBLISHED,Published,,1998.0,1998,,WPR,1998,1998,Western Pacific,,WB_LMI,Lower-middle-income,,PHL,Philippines,,8.62,8.61803,,,,,
5,WHS7_103,Private prepaid plans as a percentage of private expenditure on health,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/120,NHA_PHL,Philippines note,,PUBLISHED,Published,,1999.0,1999,,WPR,1999,1999,Western Pacific,,WB_LMI,Lower-middle-income,,PHL,Philippines,,11.04,11.04043,,,,,
6,WHS7_103,Private prepaid plans as a percentage of private expenditure on health,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/120,NHA_PHL,Philippines note,,PUBLISHED,Published,,2000.0,2000,,WPR,2000,2000,Western Pacific,,WB_LMI,Lower-middle-income,,PHL,Philippines,,11.1,11.09884,,,,,
7,WHS7_103,Private prepaid plans as a percentage of private expenditure on health,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/120,NHA_PHL,Philippines note,,PUBLISHED,Published,,2001.0,2001,,WPR,2001,2001,Western Pacific,,WB_LMI,Lower-middle-income,,PHL,Philippines,,10.1,10.10159,,,,,
8,WHS7_103,Private prepaid plans as a percentage of private expenditure on health,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/120,NHA_PHL,Philippines note,,PUBLISHED,Published,,2002.0,2002,,WPR,2002,2002,Western Pacific,,WB_LMI,Lower-middle-income,,PHL,Philippines,,10.74,10.73948,,,,,
9,WHS7_103,Private prepaid plans as a percentage of private expenditure on health,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/120,NHA_PHL,Philippines note,,PUBLISHED,Published,,2003.0,2003,,WPR,2003,2003,Western Pacific,,WB_LMI,Lower-middle-income,,PHL,Philippines,,11.76,11.76436,,,,,
10,WHS7_103,Private prepaid plans as a percentage of private expenditure on health,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/120,NHA_PHL,Philippines note,,PUBLISHED,Published,,2004.0,2004,,WPR,2004,2004,Western Pacific,,WB_LMI,Lower-middle-income,,PHL,Philippines,,11.35,11.34634,,,,,
11,WHS7_103,Private prepaid plans as a percentage of private expenditure on health,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/120,NHA_PHL,Philippines note,,PUBLISHED,Published,,2005.0,2005,,WPR,2005,2005,Western Pacific,,WB_LMI,Lower-middle-income,,PHL,Philippines,,10.23,10.23445,,,,,
12,WHS7_103,Private prepaid plans as a percentage of private expenditure on health,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/120,NHA_PHL,Philippines note,,PUBLISHED,Published,,2006.0,2006,,WPR,2006,2006,Western Pacific,,WB_LMI,Lower-middle-income,,PHL,Philippines,,9.64,9.64177,,,,,
13,WHS7_103,Private prepaid plans as a percentage of private expenditure on health,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/120,NHA_PHL,Philippines note,,PUBLISHED,Published,,2007.0,2007,,WPR,2007,2007,Western Pacific,,WB_LMI,Lower-middle-income,,PHL,Philippines,,9.76,9.75545,,,,,
