index,GHO (CODE),GHO (DISPLAY),GHO (URL),DATASOURCE (CODE),DATASOURCE (DISPLAY),DATASOURCE (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),STARTYEAR,ENDYEAR,REGION (DISPLAY),REGION (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),AGEGROUP (CODE),AGEGROUP (DISPLAY),AGEGROUP (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),RESIDENCEAREATYPE (CODE),RESIDENCEAREATYPE (DISPLAY),RESIDENCEAREATYPE (URL),DRIVERTYPE (CODE),DRIVERTYPE (DISPLAY),DRIVERTYPE (URL),MOTOCYCLEOCCUPANTTYPE (CODE),MOTOCYCLEOCCUPANTTYPE (DISPLAY),MOTOCYCLEOCCUPANTTYPE (URL),ROADUSERTYPE (CODE),ROADUSERTYPE (DISPLAY),ROADUSERTYPE (URL),SEATTYPE (CODE),SEATTYPE (DISPLAY),SEATTYPE (URL),VEHICLESTANDARD (CODE),VEHICLESTANDARD (DISPLAY),VEHICLESTANDARD (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
0,#indicator+code,#indicator+name,#indicator+url,,#meta+source,,#status+code,#status+name,,,#date+year,,#region+code,#date+year+start,#date+year+end,#region+name,,#country+code,#country+name,,,,,#sex+code,#sex+name,,,,,,,,,,,,,,,,,,,,,#indicator+value+num,,,,,
1,RS_237,Existence of a formal pre-hospital care system,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/237,,,,PUBLISHED,Published,,2007,2007,,WPR,2007,2007,Western Pacific,,PHL,Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,0.0,0.0,,,
2,RS_576,Gross national income per capita (Atlas method),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3355,,,,PUBLISHED,Published,,2010,2010,,WPR,2010,2010,Western Pacific,,PHL,Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,2 060,2060.00000,,,,,
3,RS_193,Income level,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/193,,,,PUBLISHED,Published,,2010,2010,,WPR,2010,2010,Western Pacific,,PHL,Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,Middle,,,,,,
4,RS_1845,Population,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3359,,,,PUBLISHED,Published,,2010,2010,,WPR,2010,2010,Western Pacific,,PHL,Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,93 260 800,93260800.00000,,,,,
5,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,Child maltreatment: Extent of implementation of home-visiting programmes,,,,,PUBLISHED,Published,,2012-2014,2012-2014,,WPR,2012,2014,Western Pacific,,PHL,Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,Limited,,,,,,
6,VIOLENCE_EXTENTIMP_YOUTHLIFESKILLS,Youth violence: Extent of implementation of life-skills and social development programmes,,,,,PUBLISHED,Published,,2012-2014,2012-2014,,WPR,2012,2014,Western Pacific,,PHL,Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,Larger scale,,,,,,
7,VIOLENCE_EXTENTIMP_PARTNERVIOLPREVENTION,Intimate partner violence: Extent of implementation  of dating violence prevention programmes,,,,,PUBLISHED,Published,,2012-2014,2012-2014,,WPR,2012,2014,Western Pacific,,PHL,Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,
8,VIOLENCE_EXTENTIMP_ELDERCAREGIVER,Elder abuse: Extent of implementation  of caregiver-support programmes,,,,,PUBLISHED,Published,,2012-2014,2012-2014,,WPR,2012,2014,Western Pacific,,PHL,Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,Limited,,,,,,
9,VIOLENCE_EXTENTIMP_ALLTYPES,Extent of implementation of  mental health services for victims of all types of violence,,,,,PUBLISHED,Published,,2012-2014,2012-2014,,WPR,2012,2014,Western Pacific,,PHL,Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,No data,,,,,,
10,VIOLENCE_EXTENTIMP_CHILDPROTECTION,Extent of implementation of child protection services,,,,,PUBLISHED,Published,,2012-2014,2012-2014,,WPR,2012,2014,Western Pacific,,PHL,Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,Limited,,,,,,
11,VIOLENCE_EXTENTIMP_VICTIMSMEDICOLEGAL,Extent of implementation of medico-legal services for victims of sexual violence,,,,,PUBLISHED,Published,,2012-2014,2012-2014,,WPR,2012,2014,Western Pacific,,PHL,Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,Larger scale,,,,,,
12,VIOLENCE_HOMICIDENUM,Estimates of number of homicides,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4464,,,,PUBLISHED,Published,,2012,2012,,WPR,2012,2012,Western Pacific,,PHL,Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,12029 [10713 - 13329],12029.00000,10713.0,13329.0,,,
13,VIOLENCE_HOMICIDERATE,Estimates of rates of homicides per 100 000 population,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4465,,,,PUBLISHED,Published,,2000,2000,,WPR,2000,2000,Western Pacific,,PHL,Philippines,,,,,BTSX,Both sexes,,,,,,,,,,,,,,,,,,,,20.2,20.16115,,,,,
14,VIOLENCE_HOMICIDERATE,Estimates of rates of homicides per 100 000 population,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4465,,,,PUBLISHED,Published,,2000,2000,,WPR,2000,2000,Western Pacific,,PHL,Philippines,,,,,MLE,Male,,,,,,,,,,,,,,,,,,,,35.6,35.61043,,,,,
15,VIOLENCE_HOMICIDERATE,Estimates of rates of homicides per 100 000 population,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4465,,,,PUBLISHED,Published,,2000,2000,,WPR,2000,2000,Western Pacific,,PHL,Philippines,,,,,FMLE,Female,,,,,,,,,,,,,,,,,,,,4.5,4.48470,,,,,
16,VIOLENCE_HOMICIDERATE,Estimates of rates of homicides per 100 000 population,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4465,,,,PUBLISHED,Published,,2005,2005,,WPR,2005,2005,Western Pacific,,PHL,Philippines,,,,,BTSX,Both sexes,,,,,,,,,,,,,,,,,,,,19.6,19.61253,,,,,
17,VIOLENCE_HOMICIDERATE,Estimates of rates of homicides per 100 000 population,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4465,,,,PUBLISHED,Published,,2005,2005,,WPR,2005,2005,Western Pacific,,PHL,Philippines,,,,,MLE,Male,,,,,,,,,,,,,,,,,,,,35.2,35.23263,,,,,
18,VIOLENCE_HOMICIDERATE,Estimates of rates of homicides per 100 000 population,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4465,,,,PUBLISHED,Published,,2005,2005,,WPR,2005,2005,Western Pacific,,PHL,Philippines,,,,,FMLE,Female,,,,,,,,,,,,,,,,,,,,3.8,3.82904,,,,,
19,VIOLENCE_HOMICIDERATE,Estimates of rates of homicides per 100 000 population,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4465,,,,PUBLISHED,Published,,2010,2010,,WPR,2010,2010,Western Pacific,,PHL,Philippines,,,,,BTSX,Both sexes,,,,,,,,,,,,,,,,,,,,17.7,17.69995,,,,,
20,VIOLENCE_HOMICIDERATE,Estimates of rates of homicides per 100 000 population,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4465,,,,PUBLISHED,Published,,2010,2010,,WPR,2010,2010,Western Pacific,,PHL,Philippines,,,,,MLE,Male,,,,,,,,,,,,,,,,,,,,31.6,31.64790,,,,,
21,VIOLENCE_HOMICIDERATE,Estimates of rates of homicides per 100 000 population,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4465,,,,PUBLISHED,Published,,2010,2010,,WPR,2010,2010,Western Pacific,,PHL,Philippines,,,,,FMLE,Female,,,,,,,,,,,,,,,,,,,,3.5,3.48365,,,,,
22,VIOLENCE_HOMICIDERATE,Estimates of rates of homicides per 100 000 population,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4465,,,,PUBLISHED,Published,,2015,2015,,WPR,2015,2015,Western Pacific,,PHL,Philippines,,,,,BTSX,Both sexes,,,,,,,,,,,,,,,,,,,,15.4,15.36725,,,,,
23,VIOLENCE_HOMICIDERATE,Estimates of rates of homicides per 100 000 population,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4465,,,,PUBLISHED,Published,,2015,2015,,WPR,2015,2015,Western Pacific,,PHL,Philippines,,,,,MLE,Male,,,,,,,,,,,,,,,,,,,,27.4,27.37846,,,,,
24,VIOLENCE_HOMICIDERATE,Estimates of rates of homicides per 100 000 population,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4465,,,,PUBLISHED,Published,,2015,2015,,WPR,2015,2015,Western Pacific,,PHL,Philippines,,,,,FMLE,Female,,,,,,,,,,,,,,,,,,,,3.2,3.17535,,,,,
25,VIOLENCE_HOMICIDERATE,Estimates of rates of homicides per 100 000 population,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4465,,,,PUBLISHED,Published,,2016,2016,,WPR,2016,2016,Western Pacific,,PHL,Philippines,,,,,BTSX,Both sexes,,,,,,,,,,,,,,,,,,,,14.8,14.80311,,,,,
26,VIOLENCE_HOMICIDERATE,Estimates of rates of homicides per 100 000 population,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4465,,,,PUBLISHED,Published,,2016,2016,,WPR,2016,2016,Western Pacific,,PHL,Philippines,,,,,MLE,Male,,,,,,,,,,,,,,,,,,,,26.3,26.33185,,,,,
27,VIOLENCE_HOMICIDERATE,Estimates of rates of homicides per 100 000 population,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4465,,,,PUBLISHED,Published,,2016,2016,,WPR,2016,2016,Western Pacific,,PHL,Philippines,,,,,FMLE,Female,,,,,,,,,,,,,,,,,,,,3.1,3.11257,,,,,
28,SDGIPV,Proportion of ever-partnered women and girls aged 15-49 years subjected to physical and/or sexual violence by a current or former intimate partner in the previous 12 months,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3745,,,,PUBLISHED,Published,,2017,2017,,WPR,2017,2017,Western Pacific,,PHL,Philippines,,AGE25-29,25-29 years,,FMLE,Female,,,,,,,,,,,,,,,,,,,,5.3,5.30000,,,,,DHS 
29,SDGIPV,Proportion of ever-partnered women and girls aged 15-49 years subjected to physical and/or sexual violence by a current or former intimate partner in the previous 12 months,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3745,,,,PUBLISHED,Published,,2017,2017,,WPR,2017,2017,Western Pacific,,PHL,Philippines,,AGE40-44,40-44 years,,FMLE,Female,,,,,,,,,,,,,,,,,,,,4.7,4.70000,,,,,DHS 
30,SDGIPV,Proportion of ever-partnered women and girls aged 15-49 years subjected to physical and/or sexual violence by a current or former intimate partner in the previous 12 months,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3745,,,,PUBLISHED,Published,,2017,2017,,WPR,2017,2017,Western Pacific,,PHL,Philippines,,AGE15-49,15-49 years,,FMLE,Female,,,,,,,,,,,,,,,,,,,,5.5,5.50000,,,,,DHS 
31,SDGIPV,Proportion of ever-partnered women and girls aged 15-49 years subjected to physical and/or sexual violence by a current or former intimate partner in the previous 12 months,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3745,,,,PUBLISHED,Published,,2017,2017,,WPR,2017,2017,Western Pacific,,PHL,Philippines,,AGE20-24,20-24 years,,FMLE,Female,,,,,,,,,,,,,,,,,,,,11.2,11.20000,,,,,DHS 
32,SDGIPV,Proportion of ever-partnered women and girls aged 15-49 years subjected to physical and/or sexual violence by a current or former intimate partner in the previous 12 months,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3745,,,,PUBLISHED,Published,,2017,2017,,WPR,2017,2017,Western Pacific,,PHL,Philippines,,AGE15-19,15-19  years,,FMLE,Female,,,,,,,,,,,,,,,,,,,,11.1,11.10000,,,,,DHS 
33,SDGIPV,Proportion of ever-partnered women and girls aged 15-49 years subjected to physical and/or sexual violence by a current or former intimate partner in the previous 12 months,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3745,,,,PUBLISHED,Published,,2017,2017,,WPR,2017,2017,Western Pacific,,PHL,Philippines,,AGE30-34,30-34 years,,FMLE,Female,,,,,,,,,,,,,,,,,,,,5.1,5.10000,,,,,DHS 
34,SDGIPV,Proportion of ever-partnered women and girls aged 15-49 years subjected to physical and/or sexual violence by a current or former intimate partner in the previous 12 months,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3745,,,,PUBLISHED,Published,,2017,2017,,WPR,2017,2017,Western Pacific,,PHL,Philippines,,AGE35-39,35-39 years,,FMLE,Female,,,,,,,,,,,,,,,,,,,,4.4,4.40000,,,,,DHS 
35,SDGIPV,Proportion of ever-partnered women and girls aged 15-49 years subjected to physical and/or sexual violence by a current or former intimate partner in the previous 12 months,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3745,,,,PUBLISHED,Published,,2017,2017,,WPR,2017,2017,Western Pacific,,PHL,Philippines,,AGE45-49,45-49 years,,FMLE,Female,,,,,,,,,,,,,,,,,,,,3.2,3.20000,,,,,DHS 
36,RS_194,Number of registered vehicles,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/194,RS_113,RS_113,,PUBLISHED,Published,,2016,2016,,WPR,2016,2016,Western Pacific,,PHL,Philippines,,,,,,,,TOTL,Total,,,,,,,,,,,,,,,,, 9 251 565,9251565.00000,,,,,
37,VIOLENCE_HOMICIDERATE,Estimates of rates of homicides per 100 000 population,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4465,,,,PUBLISHED,Published,,2017,2017,,WPR,2017,2017,Western Pacific,,PHL,Philippines,,,,,FMLE,Female,,,,,,,,,,,,,,,,,,,,3.0,3.00052,,,,,
38,VIOLENCE_HOMICIDERATE,Estimates of rates of homicides per 100 000 population,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4465,,,,PUBLISHED,Published,,2017,2017,,WPR,2017,2017,Western Pacific,,PHL,Philippines,,,,,MLE,Male,,,,,,,,,,,,,,,,,,,,25.5,25.47699,,,,,
39,VIOLENCE_HOMICIDERATE,Estimates of rates of homicides per 100 000 population,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4465,,,,PUBLISHED,Published,,2017,2017,,WPR,2017,2017,Western Pacific,,PHL,Philippines,,,,,BTSX,Both sexes,,,,,,,,,,,,,,,,,,,,14.3,14.30134,,,,,
40,RS_246,Distribution of road traffic deaths by type of road user (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/246,,,,PUBLISHED,Published,,2016,2016,,WPR,2016,2016,Western Pacific,,PHL,Philippines,,,,,,,,,,,,,,,,,RS-DDC-2OR3WHEELS,Drivers/passengers of motorized 2- or 3-wheelers,,,,,,,,4.7,4.70000,,,,,
41,RS_246,Distribution of road traffic deaths by type of road user (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/246,,,,PUBLISHED,Published,,2016,2016,,WPR,2016,2016,Western Pacific,,PHL,Philippines,,,,,,,,,,,,,,,,,RS-DDC-4WHEELS,Drivers/passengers of 4-wheeled vehicles,,,,,,,,46.8,46.80000,,,,,
42,RS_246,Distribution of road traffic deaths by type of road user (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/246,,,,PUBLISHED,Published,,2016,2016,,WPR,2016,2016,Western Pacific,,PHL,Philippines,,,,,,,,,,,,,,,,,RS-DDC-CYCLISTS,Cyclists,,,,,,,,0.1,0.10000,,,,,
43,RS_246,Distribution of road traffic deaths by type of road user (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/246,,,,PUBLISHED,Published,,2016,2016,,WPR,2016,2016,Western Pacific,,PHL,Philippines,,,,,,,,,,,,,,,,,RS-DDC-OTHER,Other/unspecified road users,,,,,,,,93.9,93.90000,,,,,
44,RS_246,Distribution of road traffic deaths by type of road user (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/246,,,,PUBLISHED,Published,,2016,2016,,WPR,2016,2016,Western Pacific,,PHL,Philippines,,,,,,,,,,,,,,,,,RS-DDC-PEDESTRIANS,Pedestrians,,,,,,,,1.0,1.00000,,,,,
45,RS_196,Estimated number of road traffic deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/196,,,,PUBLISHED,Published,,2016,2016,,WPR,2016,2016,Western Pacific,,PHL,Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,12 690,12690.00000,,,,,Projected death registration data
46,RS_198,Estimated road traffic death rate (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/198,,,,PUBLISHED,Published,,2016,2016,,WPR,2016,2016,Western Pacific,,PHL,Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,12.3,12.30000,,,,,
47,RS_207,Blood Alcohol Concentration (BAC) limit for drivers,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/207,,,,PUBLISHED,Published,,2017,2017,,WPR,2017,2017,Western Pacific,,PHL,Philippines,,,,,,,,,,,RS-DRIVERTYPE-GENERAL,general population,,,,,,,,,,,,,,<0.05 g/dl,,,,,,
48,RS_207,Blood Alcohol Concentration (BAC) limit for drivers,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/207,,,,PUBLISHED,Published,,2017,2017,,WPR,2017,2017,Western Pacific,,PHL,Philippines,,,,,,,,,,,RS-DRIVERTYPE-YOUNG,young/novice drivers,,,,,,,,,,,,,,<0.05 g/dl,,,,,,
49,RS_209,Existence of a national seat-belt law,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/209,,,,PUBLISHED,Published,,2017,2017,,WPR,2017,2017,Western Pacific,,PHL,Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,
50,RS_210,Applicability of seat-belt law to all occupants,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/210,,,,PUBLISHED,Published,,2017,2017,,WPR,2017,2017,Western Pacific,,PHL,Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,No data,,,,,,
51,RS_212,Seat-belt wearing rate (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/212,,,,PUBLISHED,Published,,2017,2017,,WPR,2017,2017,Western Pacific,,PHL,Philippines,,,,,,,,,,,,,,,,,,,,RS-DDC-DRIVERSONLY,Drivers only,,,,,79.7,,,,,,
52,RS_212,Seat-belt wearing rate (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/212,,,,PUBLISHED,Published,,2017,2017,,WPR,2017,2017,Western Pacific,,PHL,Philippines,,,,,,,,,,,,,,,,,,,,RS-DDC-FRONTSEAT,Front seat,,,,,,,,,,,
