index,GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),STARTYEAR,ENDYEAR,COUNTRY (DISPLAY),COUNTRY (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
0,#indicator+code,#indicator+name,#indicator+url,#status+code,#status+name,,,#date+year,,#region+code,#region+name,,#country+code,#date+year+start,#date+year+end,#country+name,,,#indicator+value+num,,,,,
1,IR_INSECTICIDERESISTANCE_PREV,Number of insecticide classes to which resistance was reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4557,PUBLISHED,Published,,2006.0,2006,,WPR,Western Pacific,,PHL,2006,2006,Philippines,,0,0.00000,,,,,
2,IR_INSECTICIDERESISTANCE_PREV,Number of insecticide classes to which resistance was reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4557,PUBLISHED,Published,,2007.0,2007,,WPR,Western Pacific,,PHL,2007,2007,Philippines,,1,1.00000,,,,,
3,IR_INSECTICIDERESISTANCE_PREV,Number of insecticide classes to which resistance was reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4557,PUBLISHED,Published,,2013.0,2013,,WPR,Western Pacific,,PHL,2013,2013,Philippines,,1,1.00000,,,,,
4,IR_INSECTICIDERESISTANCE_PREV,Number of insecticide classes to which resistance was reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4557,PUBLISHED,Published,,2011.0,2011,,WPR,Western Pacific,,PHL,2011,2011,Philippines,,2,2.00000,,,,,
5,IR_INSECTICIDERESISTANCE_PREV,Number of insecticide classes to which resistance was reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4557,PUBLISHED,Published,,2000.0,2000,,WPR,Western Pacific,,PHL,2000,2000,Philippines,,Not tested/reported,,,,,,
6,IR_INSECTICIDERESISTANCE_PREV,Number of insecticide classes to which resistance was reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4557,PUBLISHED,Published,,2001.0,2001,,WPR,Western Pacific,,PHL,2001,2001,Philippines,,Not tested/reported,,,,,,
7,IR_INSECTICIDERESISTANCE_PREV,Number of insecticide classes to which resistance was reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4557,PUBLISHED,Published,,2002.0,2002,,WPR,Western Pacific,,PHL,2002,2002,Philippines,,Not tested/reported,,,,,,
8,IR_INSECTICIDERESISTANCE_PREV,Number of insecticide classes to which resistance was reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4557,PUBLISHED,Published,,2003.0,2003,,WPR,Western Pacific,,PHL,2003,2003,Philippines,,Not tested/reported,,,,,,
9,IR_INSECTICIDERESISTANCE_PREV,Number of insecticide classes to which resistance was reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4557,PUBLISHED,Published,,2004.0,2004,,WPR,Western Pacific,,PHL,2004,2004,Philippines,,Not tested/reported,,,,,,
