index,GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),STARTYEAR,ENDYEAR,COUNTRY (DISPLAY),COUNTRY (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
0,#indicator+code,#indicator+name,#indicator+url,#status+code,#status+name,,,#date+year,,#region+code,#region+name,,#country+code,#date+year+start,#date+year+end,#country+name,,,#indicator+value+num,,,,,
1,IHR01,Legislation,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4407,PUBLISHED,Published,,2013.0,2013,,WPR,Western Pacific,,PHL,2013,2013,Philippines,,25.0,25.00000,,,,,
2,IHR02,Coordination,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4408,PUBLISHED,Published,,2013.0,2013,,WPR,Western Pacific,,PHL,2013,2013,Philippines,,100.0,100.00000,,,,,
3,IHR03,Surveillance,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4409,PUBLISHED,Published,,2013.0,2013,,WPR,Western Pacific,,PHL,2013,2013,Philippines,,100.0,100.00000,,,,,
4,IHR04,Response,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4410,PUBLISHED,Published,,2013.0,2013,,WPR,Western Pacific,,PHL,2013,2013,Philippines,,100.0,100.00000,,,,,
5,IHR05,Preparedness,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4411,PUBLISHED,Published,,2013.0,2013,,WPR,Western Pacific,,PHL,2013,2013,Philippines,,91.0,91.00000,,,,,
6,IHR06,Risk communication,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4412,PUBLISHED,Published,,2013.0,2013,,WPR,Western Pacific,,PHL,2013,2013,Philippines,,86.0,86.00000,,,,,
7,IHR07,Human resources,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4413,PUBLISHED,Published,,2013.0,2013,,WPR,Western Pacific,,PHL,2013,2013,Philippines,,100.0,100.00000,,,,,
8,IHR08,Laboratory,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4414,PUBLISHED,Published,,2013.0,2013,,WPR,Western Pacific,,PHL,2013,2013,Philippines,,57.0,57.00000,,,,,
9,IHR09,Points of entry,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4415,PUBLISHED,Published,,2013.0,2013,,WPR,Western Pacific,,PHL,2013,2013,Philippines,,31.0,31.00000,,,,,
10,IHR10,Zoonosis,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4416,PUBLISHED,Published,,2013.0,2013,,WPR,Western Pacific,,PHL,2013,2013,Philippines,,33.0,33.00000,,,,,
11,IHR11,Food safety,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4417,PUBLISHED,Published,,2013.0,2013,,WPR,Western Pacific,,PHL,2013,2013,Philippines,,60.0,60.00000,,,,,
