index,GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),STARTYEAR,ENDYEAR,COUNTRY (DISPLAY),COUNTRY (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
0,#indicator+code,#indicator+name,#indicator+url,#status+code,#status+name,,,#date+year,,#region+code,#region+name,,#country+code,#date+year+start,#date+year+end,#country+name,,,#indicator+value+num,,,,,
1,DEVICES08,Total density per million population: Magnetic Resonance Imaging,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3005,PUBLISHED,Published,,2010.0,2010,,WPR,Western Pacific,,PHL,2010,2010,Philippines,,0.32,0.32000,,,,,
2,DEVICES09,Total density per million population: Computed tomography units,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3006,PUBLISHED,Published,,2010.0,2010,,WPR,Western Pacific,,PHL,2010,2010,Philippines,,1.15,1.15000,,,,,
3,DEVICES12,Total density per million population: Linear Accelerator,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3003,PUBLISHED,Published,,2010.0,2010,,WPR,Western Pacific,,PHL,2010,2010,Philippines,,0.19,0.19000,,,,,
4,DEVICES21,Total density per million population: Telecobalt Unit,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3004,PUBLISHED,Published,,2010.0,2010,,WPR,Western Pacific,,PHL,2010,2010,Philippines,,0.1,0.10000,,,,,from the DIRA IAEA radiotherapy database (data available online at: http://www-naweb.iaea.org/nahu/dirac/query3.asp)
5,DEVICES22,Total density per million population: Radiotherapy units,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2441,PUBLISHED,Published,,2010.0,2010,,WPR,Western Pacific,,PHL,2010,2010,Philippines,,0.19,0.19000,,,,,
6,DEVICES23,Total density per million females aged from 50 to 69 years old: Mammography units,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3009,PUBLISHED,Published,,2010.0,2010,,WPR,Western Pacific,,PHL,2010,2010,Philippines,,14.94,14.94000,,,,,
7,DEVICES09,Total density per million population: Computed tomography units,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3006,PUBLISHED,Published,,2013.0,2013,,WPR,Western Pacific,,PHL,2013,2013,Philippines,,1.09,1.08747,,,,,
8,DEVICES08,Total density per million population: Magnetic Resonance Imaging,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3005,PUBLISHED,Published,,2013.0,2013,,WPR,Western Pacific,,PHL,2013,2013,Philippines,,0.3,0.30490,,,,,
9,DEVICES12,Total density per million population: Linear Accelerator,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3003,PUBLISHED,Published,,2013.0,2013,,WPR,Western Pacific,,PHL,2013,2013,Philippines,,0.18,0.18294,,,,,
10,DEVICES22,Total density per million population: Radiotherapy units,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2441,PUBLISHED,Published,,2013.0,2013,,WPR,Western Pacific,,PHL,2013,2013,Philippines,,0.18,0.18294,,,,,
11,DEVICES23,Total density per million females aged from 50 to 69 years old: Mammography units,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3009,PUBLISHED,Published,,2014.0,2014,,WPR,Western Pacific,,PHL,2014,2014,Philippines,,13.12,13.12096,,,,,
