index,GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),STARTYEAR,ENDYEAR,COUNTRY (DISPLAY),COUNTRY (URL),AGEGROUP (CODE),AGEGROUP (DISPLAY),AGEGROUP (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),GHECAUSES (CODE),GHECAUSES (DISPLAY),GHECAUSES (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
0,#indicator+code,#indicator+name,#indicator+url,#status+code,#status+name,,,#date+year,,#region+code,#region+name,,#country+code,#date+year+start,#date+year+end,#country+name,,,,,#sex+code,#sex+name,,,,,,#indicator+value+num,,,,,
1,CHOL_01,Raised total cholesterol (>= 5.0 mmol/L) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2382,PUBLISHED,Published,,2008.0,2008,,WPR,Western Pacific,,PHL,2008,2008,Philippines,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,44.5 [26.0-63.5],,,,,,
2,CHOL_02,Raised total cholesterol (>= 5.0 mmol/L) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2382,PUBLISHED,Published,,2008.0,2008,,WPR,Western Pacific,,PHL,2008,2008,Philippines,,AGE25-PLUS,25+ years,,MLE,Male,,,,,39.3 [24.8-55.2],,,,,,
3,CHOL_05,Raised total cholesterol (&#8805; 6.2 mmol/L) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2383,PUBLISHED,Published,,2008.0,2008,,WPR,Western Pacific,,PHL,2008,2008,Philippines,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,12.5 [5.2-24.2],,,,,,
4,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1980.0,1980,,WPR,Western Pacific,,PHL,1980,1980,Philippines,,AGE20-PLUS,20+ years,,MLE,Male,,,,,21.3 [19.8-22.8],21.30000,19.8,22.8,,,
5,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1981.0,1981,,WPR,Western Pacific,,PHL,1981,1981,Philippines,,AGE20-PLUS,20+ years,,MLE,Male,,,,,21.4 [20.0-22.7],21.40000,20.0,22.7,,,
6,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1982.0,1982,,WPR,Western Pacific,,PHL,1982,1982,Philippines,,AGE20-PLUS,20+ years,,MLE,Male,,,,,21.4 [20.2-22.7],21.40000,20.2,22.7,,,
7,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1983.0,1983,,WPR,Western Pacific,,PHL,1983,1983,Philippines,,AGE20-PLUS,20+ years,,MLE,Male,,,,,21.5 [20.4-22.6],21.50000,20.4,22.6,,,
8,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1997.0,1997,,WPR,Western Pacific,,PHL,1997,1997,Philippines,,AGE20-PLUS,20+ years,,MLE,Male,,,,,22.3 [21.8-22.8],22.30000,21.8,22.8,,,
9,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1998.0,1998,,WPR,Western Pacific,,PHL,1998,1998,Philippines,,AGE20-PLUS,20+ years,,MLE,Male,,,,,22.4 [21.9-22.9],22.40000,21.9,22.9,,,
10,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1999.0,1999,,WPR,Western Pacific,,PHL,1999,1999,Philippines,,AGE20-PLUS,20+ years,,MLE,Male,,,,,22.4 [22.0-22.9],22.40000,22.0,22.9,,,
11,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,2000.0,2000,,WPR,Western Pacific,,PHL,2000,2000,Philippines,,AGE20-PLUS,20+ years,,MLE,Male,,,,,22.5 [22.0-23.0],22.50000,22.0,23.0,,,
12,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1982.0,1982,,WPR,Western Pacific,,PHL,1982,1982,Philippines,,AGE20-PLUS,20+ years,,FMLE,Female,,,,,21.4 [19.9-22.9],21.40000,19.9,22.9,,,
13,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1983.0,1983,,WPR,Western Pacific,,PHL,1983,1983,Philippines,,AGE20-PLUS,20+ years,,FMLE,Female,,,,,21.5 [20.1-22.9],21.50000,20.1,22.9,,,
14,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1984.0,1984,,WPR,Western Pacific,,PHL,1984,1984,Philippines,,AGE20-PLUS,20+ years,,FMLE,Female,,,,,21.6 [20.3-22.9],21.60000,20.3,22.9,,,
15,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1985.0,1985,,WPR,Western Pacific,,PHL,1985,1985,Philippines,,AGE20-PLUS,20+ years,,FMLE,Female,,,,,21.6 [20.4-22.8],21.60000,20.4,22.8,,,
16,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1999.0,1999,,WPR,Western Pacific,,PHL,1999,1999,Philippines,,AGE20-PLUS,20+ years,,FMLE,Female,,,,,22.8 [22.2-23.3],22.80000,22.2,23.3,,,
17,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,2000.0,2000,,WPR,Western Pacific,,PHL,2000,2000,Philippines,,AGE20-PLUS,20+ years,,FMLE,Female,,,,,22.8 [22.3-23.4],22.80000,22.3,23.4,,,
18,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,2001.0,2001,,WPR,Western Pacific,,PHL,2001,2001,Philippines,,AGE20-PLUS,20+ years,,FMLE,Female,,,,,22.9 [22.3-23.5],22.90000,22.3,23.5,,,
19,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,2002.0,2002,,WPR,Western Pacific,,PHL,2002,2002,Philippines,,AGE20-PLUS,20+ years,,FMLE,Female,,,,,23.0 [22.3-23.6],23.00000,22.3,23.6,,,
