index,GHO (CODE),ENDYEAR,COUNTRY (CODE),SEX (DISPLAY),Numeric
0,#indicator+code,#date+year+end,#country+code,#sex+name,#indicator+value+num
1,MDG_0000000001,2018,PHL,Both sexes,22.45685
2,MDG_0000000001,2014,PHL,Female,21.17313
3,MDG_0000000001,2014,PHL,Male,26.63340
4,MDG_0000000001,2013,PHL,Both sexes,24.20692
5,MDG_0000000001,2013,PHL,Female,21.37806
6,MDG_0000000001,2008,PHL,Both sexes,25.54163
7,MDG_0000000001,2008,PHL,Female,22.55274
8,MDG_0000000001,2008,PHL,Male,28.37160
9,MDG_0000000001,2007,PHL,Both sexes,25.84714
10,MDG_0000000001,2003,PHL,Male,30.56672
11,MDG_0000000001,2002,PHL,Both sexes,27.86951
12,MDG_0000000001,2002,PHL,Female,24.51083
13,MDG_0000000001,2002,PHL,Male,31.07043
14,MDG_0000000001,1997,PHL,Both sexes,30.61933
15,MDG_0000000001,1997,PHL,Female,26.82605
16,MDG_0000000001,1997,PHL,Male,34.22522
17,MDG_0000000001,1996,PHL,Both sexes,31.47706
18,MDG_0000000001,1996,PHL,Female,27.57454
19,MDG_0000000001,1992,PHL,Male,40.75434
20,MDG_0000000001,1991,PHL,Both sexes,38.08020
21,MDG_0000000001,1991,PHL,Female,33.28275
22,MDG_0000000001,1991,PHL,Male,42.64130
23,MDG_0000000001,1986,PHL,Female,41.91011
24,MDG_0000000001,1986,PHL,Male,53.07175
25,MDG_0000000001,1985,PHL,Both sexes,49.04547
26,MDG_0000000001,1985,PHL,Female,43.17118
27,MDG_0000000001,1980,PHL,Both sexes,52.84918
28,MDG_0000000001,1980,PHL,Female,46.65965
29,MDG_0000000001,1980,PHL,Male,58.75326
30,MDG_0000000001,1979,PHL,Both sexes,53.37130
31,MDG_0000000001,1975,PHL,Female,48.23929
32,MDG_0000000001,1975,PHL,Male,60.19695
33,MDG_0000000001,1974,PHL,Both sexes,54.40223
34,MDG_0000000001,1974,PHL,Female,48.33047
35,MDG_0000000001,1969,PHL,Both sexes,55.82121
36,MDG_0000000001,1969,PHL,Female,49.86368
37,MDG_0000000001,1969,PHL,Male,61.53044
38,MDG_0000000001,1968,PHL,Both sexes,56.57031
39,MDG_0000000001,1964,PHL,Male,66.52931
40,MDG_0000000001,1963,PHL,Both sexes,61.84378
41,MDG_0000000001,1963,PHL,Female,55.63087
42,MDG_0000000001,1963,PHL,Male,67.76874
43,MDG_0000000001,1958,PHL,Both sexes,71.01242
44,MDG_0000000001,1958,PHL,Female,64.17478
45,MDG_0000000001,1958,PHL,Male,77.39882
46,MDG_0000000001,1957,PHL,Both sexes,73.51717
47,MDG_0000000001,1957,PHL,Female,66.54681
48,MDG_0000000001,1953,PHL,Male,92.14483
49,MDG_0000000001,2018,PHL,Female,19.79419
50,MDG_0000000001,2017,PHL,Both sexes,22.94922
51,MDG_0000000001,2015,PHL,Female,20.93535
52,MDG_0000000001,2014,PHL,Both sexes,23.95829
53,MDG_0000000001,2013,PHL,Male,26.88699
54,MDG_0000000001,2012,PHL,Female,21.59329
55,MDG_0000000001,2011,PHL,Both sexes,24.72071
56,MDG_0000000001,2010,PHL,Male,27.75657
57,MDG_0000000001,2009,PHL,Female,22.29118
58,MDG_0000000001,2007,PHL,Male,28.74327
59,MDG_0000000001,2006,PHL,Female,23.11311
60,MDG_0000000001,2004,PHL,Both sexes,26.98711
61,MDG_0000000001,2004,PHL,Male,30.05800
62,MDG_0000000001,2003,PHL,Female,24.14194
63,MDG_0000000001,2001,PHL,Both sexes,28.31459
64,MDG_0000000001,2001,PHL,Male,31.58965
65,MDG_0000000001,1998,PHL,Both sexes,29.87979
66,MDG_0000000001,1998,PHL,Male,33.39928
67,MDG_0000000001,1995,PHL,Both sexes,32.45313
68,MDG_0000000001,1995,PHL,Male,36.31299
69,MDG_0000000001,1993,PHL,Female,30.52212
70,MDG_0000000001,1992,PHL,Both sexes,36.39204
71,MDG_0000000001,1990,PHL,Female,34.92351
72,MDG_0000000001,1989,PHL,Both sexes,41.99472
73,MDG_0000000001,1987,PHL,Female,40.33379
74,MDG_0000000001,1986,PHL,Both sexes,47.62594
75,MDG_0000000001,1985,PHL,Male,54.61271
76,MDG_0000000001,1984,PHL,Female,44.17355
77,MDG_0000000001,1982,PHL,Male,57.52419
78,MDG_0000000001,1981,PHL,Female,46.13555
79,MDG_0000000001,1979,PHL,Male,59.29093
80,MDG_0000000001,1978,PHL,Female,47.59254
81,MDG_0000000001,1976,PHL,Both sexes,54.24952
82,MDG_0000000001,1976,PHL,Male,60.12011
83,MDG_0000000001,1973,PHL,Both sexes,54.45485
84,MDG_0000000001,1973,PHL,Male,60.18219
85,MDG_0000000001,1970,PHL,Both sexes,55.24540
86,MDG_0000000001,1970,PHL,Male,60.96700
87,MDG_0000000001,1968,PHL,Female,50.61742
88,MDG_0000000001,1967,PHL,Both sexes,57.46366
89,MDG_0000000001,1965,PHL,Female,53.41132
90,MDG_0000000001,1964,PHL,Both sexes,60.65937
91,MDG_0000000001,1962,PHL,Female,56.89374
92,MDG_0000000001,1961,PHL,Both sexes,64.72022
93,MDG_0000000001,1960,PHL,Male,72.72529
94,MDG_0000000001,1959,PHL,Female,62.02884
95,MDG_0000000001,1957,PHL,Male,80.03441
96,MDG_0000000001,1956,PHL,Female,69.03935
97,MDG_0000000001,1954,PHL,Male,88.97868
98,MDG_0000000001,1953,PHL,Female,77.25366
99,MDG_0000000001,2017,PHL,Male,25.50237
100,MDG_0000000001,2016,PHL,Both sexes,23.36674
101,MDG_0000000001,2016,PHL,Female,20.62013
102,MDG_0000000001,2016,PHL,Male,25.99354
103,MDG_0000000001,2011,PHL,Female,21.83511
104,MDG_0000000001,2011,PHL,Male,27.44107
105,MDG_0000000001,2010,PHL,Both sexes,24.98679
106,MDG_0000000001,2010,PHL,Female,22.06366
107,MDG_0000000001,2006,PHL,Male,29.14721
108,MDG_0000000001,2005,PHL,Both sexes,26.58584
109,MDG_0000000001,2005,PHL,Female,23.43479
110,MDG_0000000001,2005,PHL,Male,29.58383
111,MDG_0000000001,2000,PHL,Female,25.25385
112,MDG_0000000001,2000,PHL,Male,32.11081
113,MDG_0000000001,1999,PHL,Both sexes,29.27428
114,MDG_0000000001,1999,PHL,Female,25.67985
115,MDG_0000000001,1994,PHL,Both sexes,33.59549
116,MDG_0000000001,1994,PHL,Female,29.40716
117,MDG_0000000001,1994,PHL,Male,37.59296
118,MDG_0000000001,1993,PHL,Both sexes,34.89700
119,MDG_0000000001,1989,PHL,Female,36.76263
120,MDG_0000000001,1989,PHL,Male,46.96777
121,MDG_0000000001,1988,PHL,Both sexes,44.02417
122,MDG_0000000001,1988,PHL,Female,38.60405
123,MDG_0000000001,1988,PHL,Male,49.16956
124,MDG_0000000001,1983,PHL,Both sexes,51.00238
125,MDG_0000000001,1983,PHL,Female,44.97426
126,MDG_0000000001,1983,PHL,Male,56.75350
127,MDG_0000000001,1982,PHL,Both sexes,51.71303
128,MDG_0000000001,1978,PHL,Male,59.67209
129,MDG_0000000001,1977,PHL,Both sexes,54.07664
130,MDG_0000000001,1977,PHL,Female,47.89960
131,MDG_0000000001,1977,PHL,Male,59.95810
132,MDG_0000000001,1972,PHL,Female,48.60197
133,MDG_0000000001,1972,PHL,Male,60.30352
134,MDG_0000000001,1971,PHL,Both sexes,54.85356
135,MDG_0000000001,1971,PHL,Female,48.86640
136,MDG_0000000001,1967,PHL,Male,63.19244
137,MDG_0000000001,1966,PHL,Both sexes,58.47017
138,MDG_0000000001,1966,PHL,Female,52.40071
139,MDG_0000000001,1966,PHL,Male,64.27442
