index,GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),STARTYEAR,ENDYEAR,COUNTRY (DISPLAY),COUNTRY (URL),SUBSTANCETYPEDISORDER (CODE),SUBSTANCETYPEDISORDER (DISPLAY),SUBSTANCETYPEDISORDER (URL),SUBSTANCETYPE (CODE),SUBSTANCETYPE (DISPLAY),SUBSTANCETYPE (URL),RSUDREP (CODE),RSUDREP (DISPLAY),RSUDREP (URL),RSUDTREATMENT (CODE),RSUDTREATMENT (DISPLAY),RSUDTREATMENT (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
0,#indicator+code,#indicator+name,#indicator+url,#status+code,#status+name,,,#date+year,,#region+code,#region+name,,#country+code,#date+year+start,#date+year+end,#country+name,,,,,,,,,,,,,,,#indicator+value+num,,,,,
1,RSUD_130,Government unit/official responsible for treatment of substance use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2517,PUBLISHED,Published,,2014.0,2014,,WPR,Western Pacific,,PHL,2014,2014,Philippines,,,,,,,,,,,,,,One unit/official for alcohol and drugs,,,,,,
2,RSUD_140,Ministry/office that takes primary responsibility for treatment of substance use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2553,PUBLISHED,Published,,2014.0,2014,,WPR,Western Pacific,,PHL,2014,2014,Philippines,,,,,ALCOHOL,Alcohol,,,,,,,,Ministry of health,,,,,,
3,RSUD_140,Ministry/office that takes primary responsibility for treatment of substance use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2553,PUBLISHED,Published,,2014.0,2014,,WPR,Western Pacific,,PHL,2014,2014,Philippines,,,,,DRUGS,Drugs,,,,,,,,Ministry of health,,,,,,
4,RSUD_150,Involvement of representatives of affected or targeted populations in the development and formulation of policies and strategies for treatment of substance use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2549,PUBLISHED,Published,,2014.0,2014,,WPR,Western Pacific,,PHL,2014,2014,Philippines,,,,,,,,RSUDREP_YOUTH,Representatives of youth organizations,,,,,Yes,,,,,,
5,RSUD_150,Involvement of representatives of affected or targeted populations in the development and formulation of policies and strategies for treatment of substance use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2549,PUBLISHED,Published,,2014.0,2014,,WPR,Western Pacific,,PHL,2014,2014,Philippines,,,,,,,,RSUDREP_DRUGUSER,Representatives of people who use drugs,,,,,Yes,,,,,,
6,RSUD_150,Involvement of representatives of affected or targeted populations in the development and formulation of policies and strategies for treatment of substance use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2549,PUBLISHED,Published,,2014.0,2014,,WPR,Western Pacific,,PHL,2014,2014,Philippines,,,,,,,,RSUDREP_ALCOHOLUSEDISORDER,Representatives of people with alcohol use disorders,,,,,Yes,,,,,,
7,RSUD_150,Involvement of representatives of affected or targeted populations in the development and formulation of policies and strategies for treatment of substance use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2549,PUBLISHED,Published,,2014.0,2014,,WPR,Western Pacific,,PHL,2014,2014,Philippines,,,,,,,,RSUDREP_DRUGUSEDISORDER,Representatives of people with drug use disorders,,,,,Yes,,,,,,
8,RSUD_150,Involvement of representatives of affected or targeted populations in the development and formulation of policies and strategies for treatment of substance use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2549,PUBLISHED,Published,,2014.0,2014,,WPR,Western Pacific,,PHL,2014,2014,Philippines,,,,,,,,RSUDREP_ALCOHOLUSEDISORDERFAM,Representatives of family members of people with alcohol use disorders,,,,,Yes,,,,,,
9,RSUD_150,Involvement of representatives of affected or targeted populations in the development and formulation of policies and strategies for treatment of substance use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2549,PUBLISHED,Published,,2014.0,2014,,WPR,Western Pacific,,PHL,2014,2014,Philippines,,,,,,,,RSUDREP_DRUGUSEDISORDERFAM,Representatives of family members of people with drug use disorders,,,,,Yes,,,,,,
10,RSUD_150,Involvement of representatives of affected or targeted populations in the development and formulation of policies and strategies for treatment of substance use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2549,PUBLISHED,Published,,2014.0,2014,,WPR,Western Pacific,,PHL,2014,2014,Philippines,,,,,,,,RSUDREP_NGO,Representatives of non-governmental organizations,,,,,Yes,,,,,,
11,RSUD_160,Involvement of representatives of affected or targeted populations in the development and implementation of national programmes for treatment of substance use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2554,PUBLISHED,Published,,2014.0,2014,,WPR,Western Pacific,,PHL,2014,2014,Philippines,,,,,,,,RSUDREP_YOUTH,Representatives of youth organizations,,,,,Yes,,,,,,
12,RSUD_160,Involvement of representatives of affected or targeted populations in the development and implementation of national programmes for treatment of substance use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2554,PUBLISHED,Published,,2014.0,2014,,WPR,Western Pacific,,PHL,2014,2014,Philippines,,,,,,,,RSUDREP_DRUGUSER,Representatives of people who use drugs,,,,,Yes,,,,,,
13,RSUD_160,Involvement of representatives of affected or targeted populations in the development and implementation of national programmes for treatment of substance use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2554,PUBLISHED,Published,,2014.0,2014,,WPR,Western Pacific,,PHL,2014,2014,Philippines,,,,,,,,RSUDREP_ALCOHOLUSEDISORDER,Representatives of people with alcohol use disorders,,,,,Yes,,,,,,
14,RSUD_160,Involvement of representatives of affected or targeted populations in the development and implementation of national programmes for treatment of substance use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2554,PUBLISHED,Published,,2014.0,2014,,WPR,Western Pacific,,PHL,2014,2014,Philippines,,,,,,,,RSUDREP_DRUGUSEDISORDER,Representatives of people with drug use disorders,,,,,Yes,,,,,,
