index,GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),STARTYEAR,ENDYEAR,COUNTRY (DISPLAY),COUNTRY (URL),SUBSTANCETYPE (CODE),SUBSTANCETYPE (DISPLAY),SUBSTANCETYPE (URL),RSUDREPORTING (CODE),RSUDREPORTING (DISPLAY),RSUDREPORTING (URL),RSUDMONITORING (CODE),RSUDMONITORING (DISPLAY),RSUDMONITORING (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
0,#indicator+code,#indicator+name,#indicator+url,#status+code,#status+name,,,#date+year,,#region+code,#region+name,,#country+code,#date+year+start,#date+year+end,#country+name,,,,,,,,,,,,#indicator+value+num,,,,,
1,RSUD_820,Epidemiological data collection for substance use,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2504,PUBLISHED,Published,,2014.0,2014,,WPR,Western Pacific,,PHL,2014,2014,Philippines,,,,,,,,,,,One data collection systems for alcohol and drug use,,,,,,
2,RSUD_830,Service delivery data collection for substance use,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2526,PUBLISHED,Published,,2014.0,2014,,WPR,Western Pacific,,PHL,2014,2014,Philippines,,,,,,,,,,,One data collection systems for alcohol and drug use disorders,,,,,,
3,RSUD_840,Regular reports on epidemiological and service delivery data for substance use,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2507,PUBLISHED,Published,,2014.0,2014,,WPR,Western Pacific,,PHL,2014,2014,Philippines,,,,,EPIDEMIOLOGICAL_DATA_REPORTING,Epidemiological data reporting,,,,,"Yes, in a specific substance use report",,,,,,
4,RSUD_840,Regular reports on epidemiological and service delivery data for substance use,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2507,PUBLISHED,Published,,2014.0,2014,,WPR,Western Pacific,,PHL,2014,2014,Philippines,,,,,DATA_FROM_HEALTH_SERVICES_DELIVERY_REPORTING,Data from health services delivery reporting,,,,,"Yes, in a specific substance use report",,,,,,
5,RSUD_870,Epidemiological data collection system for substance use among children and adolescents,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2570,PUBLISHED,Published,,2014.0,2014,,WPR,Western Pacific,,PHL,2014,2014,Philippines,,ALCOHOL,Alcohol,,,,,,,,Yes,,,,,,
6,RSUD_850,System of monitoring alcohol involvement in forensic pathology,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4803,PUBLISHED,Published,,2014.0,2014,,WPR,Western Pacific,,PHL,2014,2014,Philippines,,,,,,,,FORENSIC_EXAMS,In forensic examinations (deaths),,Yes,,,,,,
7,RSUD_850,System of monitoring alcohol involvement in forensic pathology,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4803,PUBLISHED,Published,,2014.0,2014,,WPR,Western Pacific,,PHL,2014,2014,Philippines,,,,,,,,TOXICOLOGY_UNITS,In toxicology units (poisonings and intoxications),,Yes,,,,,,
8,RSUD_860,System of monitoring drugs involvement in forensic pathology,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4803,PUBLISHED,Published,,2014.0,2014,,WPR,Western Pacific,,PHL,2014,2014,Philippines,,,,,,,,FORENSIC_EXAMS,In forensic examinations (deaths),,Yes,,,,,,
9,RSUD_860,System of monitoring drugs involvement in forensic pathology,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4803,PUBLISHED,Published,,2014.0,2014,,WPR,Western Pacific,,PHL,2014,2014,Philippines,,,,,,,,TOXICOLOGY_UNITS,In toxicology units (poisonings and intoxications),,Yes,,,,,,
10,RSUD_870,Epidemiological data collection system for substance use among children and adolescents,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2570,PUBLISHED,Published,,2014.0,2014,,WPR,Western Pacific,,PHL,2014,2014,Philippines,,DRUGS,Drugs,,,,,,,,No data,,,,,,
