index,GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),STARTYEAR,ENDYEAR,COUNTRY (DISPLAY),COUNTRY (URL),OPENACCESSSERVICE (CODE),OPENACCESSSERVICE (DISPLAY),OPENACCESSSERVICE (URL),PROGRAMME (CODE),PROGRAMME (DISPLAY),PROGRAMME (URL),RSUDTREATMENTLOCATION (CODE),RSUDTREATMENTLOCATION (DISPLAY),RSUDTREATMENTLOCATION (URL),RSUD_HIVHEP_CT (CODE),RSUD_HIVHEP_CT (DISPLAY),RSUD_HIVHEP_CT (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
0,#indicator+code,#indicator+name,#indicator+url,#status+code,#status+name,,,#date+year,,#region+code,#region+name,,#country+code,#date+year+start,#date+year+end,#country+name,,,,,,,,,,,,,,,#indicator+value+num,,,,,
1,RSUD_620,"HIV, Hepatitis counselling and treatment availability in specialized facilities and services",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2535,PUBLISHED,Published,,2014.0,2014,,WPR,Western Pacific,,PHL,2014,2014,Philippines,,,,,,,,,,,CT_HIVTESTINGANDCOUNSELLING,HIV testing and counselling,,Few (1-10%),,,,,,
2,RSUD_620,"HIV, Hepatitis counselling and treatment availability in specialized facilities and services",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2535,PUBLISHED,Published,,2014.0,2014,,WPR,Western Pacific,,PHL,2014,2014,Philippines,,,,,,,,,,,CT_HIVARVTREATMENT,HIV (ARV) treatment,,Few (1-10%),,,,,,
3,RSUD_620,"HIV, Hepatitis counselling and treatment availability in specialized facilities and services",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2535,PUBLISHED,Published,,2014.0,2014,,WPR,Western Pacific,,PHL,2014,2014,Philippines,,,,,,,,,,,CT_HEPTESTINGANDCOUNSELLING,Hepatitis testing and counselling,,Many (31-60%),,,,,,
4,RSUD_620,"HIV, Hepatitis counselling and treatment availability in specialized facilities and services",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2535,PUBLISHED,Published,,2014.0,2014,,WPR,Western Pacific,,PHL,2014,2014,Philippines,,,,,,,,,,,CT_HEPVACCINATION,Hepatitis vaccination,,Many (31-60%),,,,,,
5,RSUD_620,"HIV, Hepatitis counselling and treatment availability in specialized facilities and services",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2535,PUBLISHED,Published,,2014.0,2014,,WPR,Western Pacific,,PHL,2014,2014,Philippines,,,,,,,,,,,CT_HEPTREATMENT,HEPATITIS treatment,,Many (31-60%),,,,,,
6,RSUD_630,Programmes readily available,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2573,PUBLISHED,Published,,2014.0,2014,,WPR,Western Pacific,,PHL,2014,2014,Philippines,,,,,NEEDLESYRINGE_EXCH_PRGRMS,Needle/syringe exchange programmes,,,,,,,,No,,,,,,
7,RSUD_630,Programmes readily available,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2573,PUBLISHED,Published,,2014.0,2014,,WPR,Western Pacific,,PHL,2014,2014,Philippines,,,,,OUTREACH_SERVICES_INJECTINGDRUGUSERS,Outreach services for injecting drug users,,,,,,,,No,,,,,,
8,RSUD_630,Programmes readily available,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2573,PUBLISHED,Published,,2014.0,2014,,WPR,Western Pacific,,PHL,2014,2014,Philippines,,,,,DROP_IN_SERVICES,"Drop-in"" services""",,,,,,,,No,,,,,,
9,RSUD_630,Programmes readily available,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2573,PUBLISHED,Published,,2014.0,2014,,WPR,Western Pacific,,PHL,2014,2014,Philippines,,,,,NALOXONE_DISTRIBUTION,Naloxone distribution,,,,,,,,No,,,,,,
10,RSUD_630,Programmes readily available,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2573,PUBLISHED,Published,,2014.0,2014,,WPR,Western Pacific,,PHL,2014,2014,Philippines,,,,,CONDOM_DISTRIBUTION,Condom distribution,,,,,,,,Yes,,,,,,
11,RSUD_640,Standards of treatment and care for public specialized treatment facilities,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2578,PUBLISHED,Published,,2014.0,2014,,WPR,Western Pacific,,PHL,2014,2014,Philippines,,,,,,,,,,,,,,Yes,,,,,,
12,RSUD_650,Special treatment programmes for gambling disorder,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2556,PUBLISHED,Published,,2014.0,2014,,WPR,Western Pacific,,PHL,2014,2014,Philippines,,,,,,,,IN_OTHER_MAJOR_CITIES,In other major cities,,,,,Yes,,,,,,
13,RSUD_660,Treatment programmes for women with alcohol use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2528,PUBLISHED,Published,,2014.0,2014,,WPR,Western Pacific,,PHL,2014,2014,Philippines,,,,,,,,IN_OTHER_MAJOR_CITIES,In other major cities,,,,,Yes,,,,,,
14,RSUD_670,Treatment programmes for women with drug use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2528,PUBLISHED,Published,,2014.0,2014,,WPR,Western Pacific,,PHL,2014,2014,Philippines,,,,,,,,IN_OTHER_MAJOR_CITIES,In other major cities,,,,,Yes,,,,,,
15,RSUD_680,Special housing services for alcohol use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2536,PUBLISHED,Published,,2014.0,2014,,WPR,Western Pacific,,PHL,2014,2014,Philippines,,,,,,,,IN_THE_CAPITAL_CITY,In the capital city,,,,,Yes,,,,,,
16,RSUD_690,Special housing services for drug use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2536,PUBLISHED,Published,,2014.0,2014,,WPR,Western Pacific,,PHL,2014,2014,Philippines,,,,,,,,IN_THE_CAPITAL_CITY,In the capital city,,,,,Yes,,,,,,
17,RSUD_700,Employment services for alcohol use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2536,PUBLISHED,Published,,2014.0,2014,,WPR,Western Pacific,,PHL,2014,2014,Philippines,,,,,,,,IN_THE_CAPITAL_CITY,In the capital city,,,,,Yes,,,,,,
18,RSUD_710,Employment services for drug use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2536,PUBLISHED,Published,,2014.0,2014,,WPR,Western Pacific,,PHL,2014,2014,Philippines,,,,,,,,IN_THE_CAPITAL_CITY,In the capital city,,,,,Yes,,,,,,
19,RSUD_720,Open access interventions for alcohol,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2537,PUBLISHED,Published,,2014.0,2014,,WPR,Western Pacific,,PHL,2014,2014,Philippines,,MOBILE_PHONE_BASED_INTERVENTIONS,Mobile-phone-based interventions,,,,,,,,,,,No,,,,,,
20,RSUD_720,Open access interventions for alcohol,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2537,PUBLISHED,Published,,2014.0,2014,,WPR,Western Pacific,,PHL,2014,2014,Philippines,,WEB_BASED_INTERVENTIONS,Web-based interventions,,,,,,,,,,,No,,,,,,
21,RSUD_720,Open access interventions for alcohol,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2537,PUBLISHED,Published,,2014.0,2014,,WPR,Western Pacific,,PHL,2014,2014,Philippines,,TELEPHONE_HELP_LINES,Telephone help lines,,,,,,,,,,,Yes,,,,,,
22,RSUD_730,Open access interventions for drugs,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2537,PUBLISHED,Published,,2014.0,2014,,WPR,Western Pacific,,PHL,2014,2014,Philippines,,MOBILE_PHONE_BASED_INTERVENTIONS,Mobile-phone-based interventions,,,,,,,,,,,No,,,,,,
23,RSUD_730,Open access interventions for drugs,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2537,PUBLISHED,Published,,2014.0,2014,,WPR,Western Pacific,,PHL,2014,2014,Philippines,,WEB_BASED_INTERVENTIONS,Web-based interventions,,,,,,,,,,,No,,,,,,
24,RSUD_730,Open access interventions for drugs,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2537,PUBLISHED,Published,,2014.0,2014,,WPR,Western Pacific,,PHL,2014,2014,Philippines,,TELEPHONE_HELP_LINES,Telephone help lines,,,,,,,,,,,Yes,,,,,,
25,RSUD_650,Special treatment programmes for gambling disorder,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2556,PUBLISHED,Published,,2014.0,2014,,WPR,Western Pacific,,PHL,2014,2014,Philippines,,,,,,,,IN_THE_CAPITAL_CITY,In the capital city,,,,,No data,,,,,,
26,RSUD_650,Special treatment programmes for gambling disorder,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2556,PUBLISHED,Published,,2014.0,2014,,WPR,Western Pacific,,PHL,2014,2014,Philippines,,,,,,,,IN_OTHER_AREAS,In other areas,,,,,No data,,,,,,
27,RSUD_660,Treatment programmes for women with alcohol use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2528,PUBLISHED,Published,,2014.0,2014,,WPR,Western Pacific,,PHL,2014,2014,Philippines,,,,,,,,IN_THE_CAPITAL_CITY,In the capital city,,,,,No data,,,,,,
28,RSUD_660,Treatment programmes for women with alcohol use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2528,PUBLISHED,Published,,2014.0,2014,,WPR,Western Pacific,,PHL,2014,2014,Philippines,,,,,,,,IN_OTHER_AREAS,In other areas,,,,,No data,,,,,,
29,RSUD_670,Treatment programmes for women with drug use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2528,PUBLISHED,Published,,2014.0,2014,,WPR,Western Pacific,,PHL,2014,2014,Philippines,,,,,,,,IN_THE_CAPITAL_CITY,In the capital city,,,,,No data,,,,,,
30,RSUD_670,Treatment programmes for women with drug use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2528,PUBLISHED,Published,,2014.0,2014,,WPR,Western Pacific,,PHL,2014,2014,Philippines,,,,,,,,IN_OTHER_AREAS,In other areas,,,,,No data,,,,,,
31,RSUD_680,Special housing services for alcohol use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2536,PUBLISHED,Published,,2014.0,2014,,WPR,Western Pacific,,PHL,2014,2014,Philippines,,,,,,,,IN_OTHER_MAJOR_CITIES,In other major cities,,,,,No data,,,,,,
32,RSUD_680,Special housing services for alcohol use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2536,PUBLISHED,Published,,2014.0,2014,,WPR,Western Pacific,,PHL,2014,2014,Philippines,,,,,,,,IN_OTHER_AREAS,In other areas,,,,,No data,,,,,,
33,RSUD_690,Special housing services for drug use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2536,PUBLISHED,Published,,2014.0,2014,,WPR,Western Pacific,,PHL,2014,2014,Philippines,,,,,,,,IN_OTHER_MAJOR_CITIES,In other major cities,,,,,No data,,,,,,
