index,GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),WORLDBANKINCOMEGROUP (CODE),STARTYEAR,ENDYEAR,WORLDBANKINCOMEGROUP (DISPLAY),WORLDBANKINCOMEGROUP (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),AGEGROUP (CODE),AGEGROUP (DISPLAY),AGEGROUP (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),RESIDENCEAREATYPE (CODE),RESIDENCEAREATYPE (DISPLAY),RESIDENCEAREATYPE (URL),ENVCAUSE (CODE),ENVCAUSE (DISPLAY),ENVCAUSE (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
0,#indicator+code,#indicator+name,#indicator+url,#status+code,#status+name,,,#date+year,,#region+code,#region+name,,,#date+year+start,#date+year+end,,,#country+code,#country+name,,,,,#sex+code,#sex+name,,,,,,,,,#indicator+value+num,,,,,
1,SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664,PUBLISHED,Published,,2000,2000,,WPR,Western Pacific,,,2000,2000,,,PHL,Philippines,,,,,FMLE,Female,,,,,,,,1.6,1.60000,,,,,"Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
2,SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664,PUBLISHED,Published,,2000,2000,,WPR,Western Pacific,,,2000,2000,,,PHL,Philippines,,,,,MLE,Male,,,,,,,,3.5,3.50000,,,,,"Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
3,SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664,PUBLISHED,Published,,2000,2000,,WPR,Western Pacific,,,2000,2000,,,PHL,Philippines,,,,,BTSX,Both sexes,,,,,,,,2.5,2.50000,,,,,"Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
4,SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664,PUBLISHED,Published,,2005,2005,,WPR,Western Pacific,,,2005,2005,,,PHL,Philippines,,,,,FMLE,Female,,,,,,,,1.5,1.50000,,,,,"Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
5,SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664,PUBLISHED,Published,,2005,2005,,WPR,Western Pacific,,,2005,2005,,,PHL,Philippines,,,,,MLE,Male,,,,,,,,3.7,3.70000,,,,,"Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
6,SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664,PUBLISHED,Published,,2005,2005,,WPR,Western Pacific,,,2005,2005,,,PHL,Philippines,,,,,BTSX,Both sexes,,,,,,,,2.6,2.60000,,,,,"Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
7,SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664,PUBLISHED,Published,,2010,2010,,WPR,Western Pacific,,,2010,2010,,,PHL,Philippines,,,,,FMLE,Female,,,,,,,,1.9,1.90000,,,,,"Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
8,SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664,PUBLISHED,Published,,2010,2010,,WPR,Western Pacific,,,2010,2010,,,PHL,Philippines,,,,,MLE,Male,,,,,,,,4.7,4.70000,,,,,"Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
9,SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664,PUBLISHED,Published,,2010,2010,,WPR,Western Pacific,,,2010,2010,,,PHL,Philippines,,,,,BTSX,Both sexes,,,,,,,,3.3,3.30000,,,,,"Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
10,SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664,PUBLISHED,Published,,2015,2015,,WPR,Western Pacific,,,2015,2015,,,PHL,Philippines,,,,,FMLE,Female,,,,,,,,2.0,2.00000,,,,,"Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
11,SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664,PUBLISHED,Published,,2015,2015,,WPR,Western Pacific,,,2015,2015,,,PHL,Philippines,,,,,MLE,Male,,,,,,,,4.5,4.50000,,,,,"Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
12,SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664,PUBLISHED,Published,,2015,2015,,WPR,Western Pacific,,,2015,2015,,,PHL,Philippines,,,,,BTSX,Both sexes,,,,,,,,3.2,3.20000,,,,,"Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
13,SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664,PUBLISHED,Published,,2016,2016,,WPR,Western Pacific,,,2016,2016,,,PHL,Philippines,,,,,FMLE,Female,,,,,,,,2.0,2.00000,,,,,"Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
14,SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664,PUBLISHED,Published,,2016,2016,,WPR,Western Pacific,,,2016,2016,,,PHL,Philippines,,,,,MLE,Male,,,,,,,,4.3,4.30000,,,,,"Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
15,SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664,PUBLISHED,Published,,2016,2016,,WPR,Western Pacific,,,2016,2016,,,PHL,Philippines,,,,,BTSX,Both sexes,,,,,,,,3.2,3.20000,,,,,"Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
16,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2000,2000,,WPR,Western Pacific,,,2000,2000,,,PHL,Philippines,,,,,MLE,Male,,,,,,,,63.9,63.87082,,,,,WHO life table method: Vital registration
17,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2001,2001,,WPR,Western Pacific,,,2001,2001,,,PHL,Philippines,,,,,MLE,Male,,,,,,,,63.8,63.81902,,,,,WHO life table method: Vital registration
18,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2002,2002,,WPR,Western Pacific,,,2002,2002,,,PHL,Philippines,,,,,MLE,Male,,,,,,,,63.8,63.81023,,,,,WHO life table method: Vital registration
19,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2003,2003,,WPR,Western Pacific,,,2003,2003,,,PHL,Philippines,,,,,MLE,Male,,,,,,,,64.1,64.08918,,,,,WHO life table method: Vital registration
20,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2004,2004,,WPR,Western Pacific,,,2004,2004,,,PHL,Philippines,,,,,MLE,Male,,,,,,,,64.2,64.16682,,,,,WHO life table method: Vital registration
21,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2005,2005,,WPR,Western Pacific,,,2005,2005,,,PHL,Philippines,,,,,MLE,Male,,,,,,,,64.0,63.95667,,,,,WHO life table method: Vital registration
22,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2006,2006,,WPR,Western Pacific,,,2006,2006,,,PHL,Philippines,,,,,MLE,Male,,,,,,,,64.1,64.07818,,,,,WHO life table method: Vital registration
23,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2007,2007,,WPR,Western Pacific,,,2007,2007,,,PHL,Philippines,,,,,MLE,Male,,,,,,,,64.6,64.59421,,,,,WHO life table method: Vital registration
24,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2008,2008,,WPR,Western Pacific,,,2008,2008,,,PHL,Philippines,,,,,MLE,Male,,,,,,,,64.7,64.69571,,,,,WHO life table method: Vital registration
25,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2009,2009,,WPR,Western Pacific,,,2009,2009,,,PHL,Philippines,,,,,MLE,Male,,,,,,,,64.7,64.73915,,,,,WHO life table method: Vital registration
26,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2010,2010,,WPR,Western Pacific,,,2010,2010,,,PHL,Philippines,,,,,MLE,Male,,,,,,,,65.2,65.20357,,,,,WHO life table method: Vital registration
27,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2011,2011,,WPR,Western Pacific,,,2011,2011,,,PHL,Philippines,,,,,MLE,Male,,,,,,,,65.4,65.38171,,,,,WHO life table method: Vital registration
28,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2012,2012,,WPR,Western Pacific,,,2012,2012,,,PHL,Philippines,,,,,MLE,Male,,,,,,,,65.5,65.49995,,,,,WHO life table method: Vital registration
29,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2013,2013,,WPR,Western Pacific,,,2013,2013,,,PHL,Philippines,,,,,MLE,Male,,,,,,,,65.6,65.64088,,,,,WHO life table method: Vital registration
30,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2014,2014,,WPR,Western Pacific,,,2014,2014,,,PHL,Philippines,,,,,MLE,Male,,,,,,,,65.9,65.92564,,,,,WHO life table method: Vital registration
31,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2015,2015,,WPR,Western Pacific,,,2015,2015,,,PHL,Philippines,,,,,MLE,Male,,,,,,,,66.1,66.10122,,,,,WHO life table method: Vital registration
32,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2016,2016,,WPR,Western Pacific,,,2016,2016,,,PHL,Philippines,,,,,MLE,Male,,,,,,,,66.2,66.21955,,,,,WHO life table method: Vital registration
33,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2000,2000,,WPR,Western Pacific,,,2000,2000,,,PHL,Philippines,,,,,FMLE,Female,,,,,,,,70.1,70.06812,,,,,WHO life table method: Vital registration
34,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2001,2001,,WPR,Western Pacific,,,2001,2001,,,PHL,Philippines,,,,,FMLE,Female,,,,,,,,70.1,70.14206,,,,,WHO life table method: Vital registration
35,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2002,2002,,WPR,Western Pacific,,,2002,2002,,,PHL,Philippines,,,,,FMLE,Female,,,,,,,,70.1,70.09222,,,,,WHO life table method: Vital registration
36,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2003,2003,,WPR,Western Pacific,,,2003,2003,,,PHL,Philippines,,,,,FMLE,Female,,,,,,,,70.6,70.61778,,,,,WHO life table method: Vital registration
37,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2004,2004,,WPR,Western Pacific,,,2004,2004,,,PHL,Philippines,,,,,FMLE,Female,,,,,,,,70.8,70.77367,,,,,WHO life table method: Vital registration
38,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2005,2005,,WPR,Western Pacific,,,2005,2005,,,PHL,Philippines,,,,,FMLE,Female,,,,,,,,70.6,70.57635,,,,,WHO life table method: Vital registration
39,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2006,2006,,WPR,Western Pacific,,,2006,2006,,,PHL,Philippines,,,,,FMLE,Female,,,,,,,,70.7,70.74084,,,,,WHO life table method: Vital registration
40,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2007,2007,,WPR,Western Pacific,,,2007,2007,,,PHL,Philippines,,,,,FMLE,Female,,,,,,,,71.3,71.25625,,,,,WHO life table method: Vital registration
41,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2008,2008,,WPR,Western Pacific,,,2008,2008,,,PHL,Philippines,,,,,FMLE,Female,,,,,,,,71.3,71.31359,,,,,WHO life table method: Vital registration
42,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2009,2009,,WPR,Western Pacific,,,2009,2009,,,PHL,Philippines,,,,,FMLE,Female,,,,,,,,71.3,71.33050,,,,,WHO life table method: Vital registration
43,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2010,2010,,WPR,Western Pacific,,,2010,2010,,,PHL,Philippines,,,,,FMLE,Female,,,,,,,,71.6,71.60517,,,,,WHO life table method: Vital registration
44,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2011,2011,,WPR,Western Pacific,,,2011,2011,,,PHL,Philippines,,,,,FMLE,Female,,,,,,,,71.9,71.85467,,,,,WHO life table method: Vital registration
45,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2012,2012,,WPR,Western Pacific,,,2012,2012,,,PHL,Philippines,,,,,FMLE,Female,,,,,,,,71.9,71.94757,,,,,WHO life table method: Vital registration
46,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2013,2013,,WPR,Western Pacific,,,2013,2013,,,PHL,Philippines,,,,,FMLE,Female,,,,,,,,72.1,72.06499,,,,,WHO life table method: Vital registration
47,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2014,2014,,WPR,Western Pacific,,,2014,2014,,,PHL,Philippines,,,,,FMLE,Female,,,,,,,,72.3,72.31554,,,,,WHO life table method: Vital registration
48,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2015,2015,,WPR,Western Pacific,,,2015,2015,,,PHL,Philippines,,,,,FMLE,Female,,,,,,,,72.5,72.49647,,,,,WHO life table method: Vital registration
49,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2016,2016,,WPR,Western Pacific,,,2016,2016,,,PHL,Philippines,,,,,FMLE,Female,,,,,,,,72.6,72.63499,,,,,WHO life table method: Vital registration
50,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2000,2000,,WPR,Western Pacific,,,2000,2000,,,PHL,Philippines,,,,,BTSX,Both sexes,,,,,,,,66.9,66.87355,,,,,WHO life table method: Vital registration
51,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2001,2001,,WPR,Western Pacific,,,2001,2001,,,PHL,Philippines,,,,,BTSX,Both sexes,,,,,,,,66.9,66.87446,,,,,WHO life table method: Vital registration
52,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2002,2002,,WPR,Western Pacific,,,2002,2002,,,PHL,Philippines,,,,,BTSX,Both sexes,,,,,,,,66.8,66.84638,,,,,WHO life table method: Vital registration
53,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2003,2003,,WPR,Western Pacific,,,2003,2003,,,PHL,Philippines,,,,,BTSX,Both sexes,,,,,,,,67.2,67.24104,,,,,WHO life table method: Vital registration
54,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2004,2004,,WPR,Western Pacific,,,2004,2004,,,PHL,Philippines,,,,,BTSX,Both sexes,,,,,,,,67.4,67.35647,,,,,WHO life table method: Vital registration
55,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2005,2005,,WPR,Western Pacific,,,2005,2005,,,PHL,Philippines,,,,,BTSX,Both sexes,,,,,,,,67.1,67.14453,,,,,WHO life table method: Vital registration
56,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2006,2006,,WPR,Western Pacific,,,2006,2006,,,PHL,Philippines,,,,,BTSX,Both sexes,,,,,,,,67.3,67.28327,,,,,WHO life table method: Vital registration
57,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2007,2007,,WPR,Western Pacific,,,2007,2007,,,PHL,Philippines,,,,,BTSX,Both sexes,,,,,,,,67.8,67.80242,,,,,WHO life table method: Vital registration
58,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2008,2008,,WPR,Western Pacific,,,2008,2008,,,PHL,Philippines,,,,,BTSX,Both sexes,,,,,,,,67.9,67.87808,,,,,WHO life table method: Vital registration
59,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2009,2009,,WPR,Western Pacific,,,2009,2009,,,PHL,Philippines,,,,,BTSX,Both sexes,,,,,,,,67.9,67.90500,,,,,WHO life table method: Vital registration
60,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2010,2010,,WPR,Western Pacific,,,2010,2010,,,PHL,Philippines,,,,,BTSX,Both sexes,,,,,,,,68.3,68.28639,,,,,WHO life table method: Vital registration
61,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2011,2011,,WPR,Western Pacific,,,2011,2011,,,PHL,Philippines,,,,,BTSX,Both sexes,,,,,,,,68.5,68.49487,,,,,WHO life table method: Vital registration
62,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2012,2012,,WPR,Western Pacific,,,2012,2012,,,PHL,Philippines,,,,,BTSX,Both sexes,,,,,,,,68.6,68.59990,,,,,WHO life table method: Vital registration
63,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2013,2013,,WPR,Western Pacific,,,2013,2013,,,PHL,Philippines,,,,,BTSX,Both sexes,,,,,,,,68.7,68.73228,,,,,WHO life table method: Vital registration
64,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2014,2014,,WPR,Western Pacific,,,2014,2014,,,PHL,Philippines,,,,,BTSX,Both sexes,,,,,,,,69.0,69.00494,,,,,WHO life table method: Vital registration
65,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2015,2015,,WPR,Western Pacific,,,2015,2015,,,PHL,Philippines,,,,,BTSX,Both sexes,,,,,,,,69.2,69.18646,,,,,WHO life table method: Vital registration
66,WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65,PUBLISHED,Published,,2016,2016,,WPR,Western Pacific,,,2016,2016,,,PHL,Philippines,,,,,BTSX,Both sexes,,,,,,,,69.3,69.31470,,,,,WHO life table method: Vital registration
67,WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/66,PUBLISHED,Published,,2000,2000,,WPR,Western Pacific,,,2000,2000,,,PHL,Philippines,,,,,MLE,Male,,,,,,,,56.9,56.86877,,,,,
68,WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/66,PUBLISHED,Published,,2005,2005,,WPR,Western Pacific,,,2005,2005,,,PHL,Philippines,,,,,MLE,Male,,,,,,,,57.2,57.17556,,,,,
