index,GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),STARTYEAR,ENDYEAR,COUNTRY (DISPLAY),COUNTRY (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
0,#indicator+code,#indicator+name,#indicator+url,#status+code,#status+name,,,#date+year,,#region+code,#region+name,,#country+code,#date+year+start,#date+year+end,#country+name,,#sex+code,#sex+name,,,#indicator+value+num,,,,,
1,TOBACCO_0000000344,Prevalence of current tobacco use among adolescents aged 13-15 years,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1298,PUBLISHED,Published,,2011.0,2011,,WPR,Western Pacific,,PHL,2011,2011,Philippines,,MLE,Male,,18.8,18.80000,,,,,
2,TOBACCO_0000000344,Prevalence of current tobacco use among adolescents aged 13-15 years,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1298,PUBLISHED,Published,,2011.0,2011,,WPR,Western Pacific,,PHL,2011,2011,Philippines,,FMLE,Female,,9.3,9.30000,,,,,
3,TOBACCO_0000000344,Prevalence of current tobacco use among adolescents aged 13-15 years,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1298,PUBLISHED,Published,,2007.0,2007,,WPR,Western Pacific,,PHL,2007,2007,Philippines,,MLE,Male,,28.3,28.30000,,,,,
4,TOBACCO_0000000344,Prevalence of current tobacco use among adolescents aged 13-15 years,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1298,PUBLISHED,Published,,2007.0,2007,,WPR,Western Pacific,,PHL,2007,2007,Philippines,,FMLE,Female,,17.5,17.50000,,,,,
5,TOBACCO_0000000344,Prevalence of current tobacco use among adolescents aged 13-15 years,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1298,PUBLISHED,Published,,2004.0,2004,,WPR,Western Pacific,,PHL,2004,2004,Philippines,,MLE,Male,,21.4,21.40000,,,,,
6,TOBACCO_0000000344,Prevalence of current tobacco use among adolescents aged 13-15 years,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1298,PUBLISHED,Published,,2004.0,2004,,WPR,Western Pacific,,PHL,2004,2004,Philippines,,FMLE,Female,,11.8,11.80000,,,,,
7,TOBACCO_0000000344,Prevalence of current tobacco use among adolescents aged 13-15 years,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1298,PUBLISHED,Published,,2003.0,2003,,WPR,Western Pacific,,PHL,2003,2003,Philippines,,MLE,Male,,26.5,26.50000,,,,,
8,TOBACCO_0000000344,Prevalence of current tobacco use among adolescents aged 13-15 years,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1298,PUBLISHED,Published,,2003.0,2003,,WPR,Western Pacific,,PHL,2003,2003,Philippines,,FMLE,Female,,13.0,13.00000,,,,,
9,TOBACCO_0000000344,Prevalence of current tobacco use among adolescents aged 13-15 years,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1298,PUBLISHED,Published,,2000.0,2000,,WPR,Western Pacific,,PHL,2000,2000,Philippines,,MLE,Male,,30.6,30.60000,,,,,
10,TOBACCO_0000000344,Prevalence of current tobacco use among adolescents aged 13-15 years,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1298,PUBLISHED,Published,,2000.0,2000,,WPR,Western Pacific,,PHL,2000,2000,Philippines,,FMLE,Female,,18.1,18.10000,,,,,
11,TOBACCO_0000000192,Prevalence of smoking any tobacco product among persons aged >= 15 years,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/346,PUBLISHED,Published,,2000.0,2000,,WPR,Western Pacific,,PHL,2000,2000,Philippines,,MLE,Male,,59.1 [45.4-73.4],59.10000,45.4,73.4,,,
12,TOBACCO_0000000192,Prevalence of smoking any tobacco product among persons aged >= 15 years,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/346,PUBLISHED,Published,,2005.0,2005,,WPR,Western Pacific,,PHL,2005,2005,Philippines,,MLE,Male,,53.2 [43.2-63.4],53.20000,43.2,63.4,,,
13,TOBACCO_0000000192,Prevalence of smoking any tobacco product among persons aged >= 15 years,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/346,PUBLISHED,Published,,2010.0,2010,,WPR,Western Pacific,,PHL,2010,2010,Philippines,,MLE,Male,,47.6 [39.5-56.4],47.60000,39.5,56.4,,,
14,TOBACCO_0000000192,Prevalence of smoking any tobacco product among persons aged >= 15 years,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/346,PUBLISHED,Published,,2012.0,2012,,WPR,Western Pacific,,PHL,2012,2012,Philippines,,MLE,Male,,45.8 [37.9-54.8],45.80000,37.9,54.8,,,
15,TOBACCO_0000000192,Prevalence of smoking any tobacco product among persons aged >= 15 years,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/346,PUBLISHED,Published,,2015.0,2015,,WPR,Western Pacific,,PHL,2015,2015,Philippines,,MLE,Male,,43.0 [34.6-53.5],43.00000,34.6,53.5,,,
16,TOBACCO_0000000192,Prevalence of smoking any tobacco product among persons aged >= 15 years,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/346,PUBLISHED,Published,,2020.0,2020,,WPR,Western Pacific,,PHL,2020,2020,Philippines,,MLE,Male,,39.0 [27.6-50.7],39.00000,27.6,50.7,,,
17,TOBACCO_0000000192,Prevalence of smoking any tobacco product among persons aged >= 15 years,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/346,PUBLISHED,Published,,2025.0,2025,,WPR,Western Pacific,,PHL,2025,2025,Philippines,,MLE,Male,,35.6 [22.0-48.9],35.60000,22.0,48.9,,,
18,TOBACCO_0000000192,Prevalence of smoking any tobacco product among persons aged >= 15 years,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/346,PUBLISHED,Published,,2000.0,2000,,WPR,Western Pacific,,PHL,2000,2000,Philippines,,FMLE,Female,,12.9 [10.0-16.0],12.90000,10.0,16.0,,,
19,TOBACCO_0000000192,Prevalence of smoking any tobacco product among persons aged >= 15 years,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/346,PUBLISHED,Published,,2005.0,2005,,WPR,Western Pacific,,PHL,2005,2005,Philippines,,FMLE,Female,,11.2 [9.4-13.6],11.20000,9.4,13.6,,,
20,TOBACCO_0000000192,Prevalence of smoking any tobacco product among persons aged >= 15 years,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/346,PUBLISHED,Published,,2010.0,2010,,WPR,Western Pacific,,PHL,2010,2010,Philippines,,FMLE,Female,,9.7 [8.1-11.5],9.70000,8.1,11.5,,,
21,TOBACCO_0000000192,Prevalence of smoking any tobacco product among persons aged >= 15 years,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/346,PUBLISHED,Published,,2012.0,2012,,WPR,Western Pacific,,PHL,2012,2012,Philippines,,FMLE,Female,,9.2 [7.3-11.1],9.20000,7.3,11.1,,,
22,TOBACCO_0000000192,Prevalence of smoking any tobacco product among persons aged >= 15 years,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/346,PUBLISHED,Published,,2015.0,2015,,WPR,Western Pacific,,PHL,2015,2015,Philippines,,FMLE,Female,,8.5 [6.6-10.8],8.50000,6.6,10.8,,,
23,TOBACCO_0000000192,Prevalence of smoking any tobacco product among persons aged >= 15 years,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/346,PUBLISHED,Published,,2020.0,2020,,WPR,Western Pacific,,PHL,2020,2020,Philippines,,FMLE,Female,,7.4 [5.3-9.7],7.40000,5.3,9.7,,,
24,TOBACCO_0000000192,Prevalence of smoking any tobacco product among persons aged >= 15 years,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/346,PUBLISHED,Published,,2025.0,2025,,WPR,Western Pacific,,PHL,2025,2025,Philippines,,FMLE,Female,,6.5 [4.3-9.3],6.50000,4.3,9.3,,,
