index,GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),WORLDBANKINCOMEGROUP (CODE),STARTYEAR,ENDYEAR,WORLDBANKINCOMEGROUP (DISPLAY),WORLDBANKINCOMEGROUP (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
0,#indicator+code,#indicator+name,#indicator+url,#status+code,#status+name,,,#date+year,,#region+code,#region+name,,,#date+year+start,#date+year+end,,,#country+code,#country+name,,,#indicator+value+num,,,,,
1,MDG_0000000030,Smear-positive tuberculosis case-detection rate (%),,PUBLISHED,Published,,2000.0,2000,,WPR,Western Pacific,,,2000,2000,,,PHL,Philippines,,53 [44-66],53.00000,44.0,66.0,,,
2,MDG_0000000030,Smear-positive tuberculosis case-detection rate (%),,PUBLISHED,Published,,2008.0,2008,,WPR,Western Pacific,,,2008,2008,,,PHL,Philippines,,67 [56-84],67.00000,56.0,84.0,,,
3,TB_tot_newrel,Tuberculosis - new and relapse cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,1990.0,1990,,WPR,Western Pacific,,WB_LMI,1990,1990,Lower-middle-income,,PHL,Philippines,,317008,317008.00000,,,,,
4,TB_tot_newrel,Tuberculosis - new and relapse cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,1992.0,1992,,WPR,Western Pacific,,WB_LMI,1992,1992,Lower-middle-income,,PHL,Philippines,,236172,236172.00000,,,,,
5,TB_tot_newrel,Tuberculosis - new and relapse cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,1993.0,1993,,WPR,Western Pacific,,WB_LMI,1993,1993,Lower-middle-income,,PHL,Philippines,,178134,178134.00000,,,,,
6,TB_tot_newrel,Tuberculosis - new and relapse cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,1995.0,1995,,WPR,Western Pacific,,WB_LMI,1995,1995,Lower-middle-income,,PHL,Philippines,,119186,119186.00000,,,,,
7,TB_tot_newrel,Tuberculosis - new and relapse cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,1996.0,1996,,WPR,Western Pacific,,WB_LMI,1996,1996,Lower-middle-income,,PHL,Philippines,,165453,165453.00000,,,,,
8,TB_tot_newrel,Tuberculosis - new and relapse cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,1998.0,1998,,WPR,Western Pacific,,WB_LMI,1998,1998,Lower-middle-income,,PHL,Philippines,,162360,162360.00000,,,,,
9,TB_tot_newrel,Tuberculosis - new and relapse cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,1999.0,1999,,WPR,Western Pacific,,WB_LMI,1999,1999,Lower-middle-income,,PHL,Philippines,,145807,145807.00000,,,,,
