index,GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),STARTYEAR,ENDYEAR,COUNTRY (DISPLAY),COUNTRY (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
0,#indicator+code,#indicator+name,#indicator+url,#status+code,#status+name,,,#date+year,,#region+code,#region+name,,#country+code,#date+year+start,#date+year+end,#country+name,,,#indicator+value+num,,,,,
1,UHC_IHR,Compliance with international health regulations,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4824,PUBLISHED,Published,,2010,2010,,WPR,Western Pacific,,PHL,2010,2010,Philippines,,54,54.00000,,,,,
2,UHC_IHR,Compliance with international health regulations,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4824,PUBLISHED,Published,,2011,2011,,WPR,Western Pacific,,PHL,2011,2011,Philippines,,74,74.00000,,,,,
3,UHC_IHR,Compliance with international health regulations,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4824,PUBLISHED,Published,,2012,2012,,WPR,Western Pacific,,PHL,2012,2012,Philippines,,75,75.00000,,,,,
4,UHC_IHR,Compliance with international health regulations,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4824,PUBLISHED,Published,,2013,2013,,WPR,Western Pacific,,PHL,2013,2013,Philippines,,75,75.00000,,,,,
5,UHC_IHR,Compliance with international health regulations,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4824,PUBLISHED,Published,,2014,2014,,WPR,Western Pacific,,PHL,2014,2014,Philippines,,84,84.00000,,,,,
6,UHC_IHR,Compliance with international health regulations,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4824,PUBLISHED,Published,,2015,2015,,WPR,Western Pacific,,PHL,2015,2015,Philippines,,89,89.00000,,,,,
7,UHC_IHR,Compliance with international health regulations,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4824,PUBLISHED,Published,,2016,2016,,WPR,Western Pacific,,PHL,2016,2016,Philippines,,87,87.00000,,,,,
8,UHC_SCI_RMNCH,"UHC SCI components: Reproductive, maternal, newborn and child health",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834,PUBLISHED,Published,,2015,2015,,WPR,Western Pacific,,PHL,2015,2015,Philippines,,65,0.65188,,,,,
9,UHC_SCI_INFECT,UHC SCI components:  Infectious diseases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834,PUBLISHED,Published,,2015,2015,,WPR,Western Pacific,,PHL,2015,2015,Philippines,,45,0.44726,,,,,
10,UHC_SCI_NCD,UHC SCI components: Noncommunicable diseases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834,PUBLISHED,Published,,2015,2015,,WPR,Western Pacific,,PHL,2015,2015,Philippines,,63,0.63468,,,,,
11,UHC_SCI_CAPACITY,UHC SCI components: Service capacity and access,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834,PUBLISHED,Published,,2015,2015,,WPR,Western Pacific,,PHL,2015,2015,Philippines,,59,0.58507,,,,,
12,UHC_INDEX_REPORTED,UHC index of service coverage (SCI),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834,PUBLISHED,Published,,2015,2015,,WPR,Western Pacific,,PHL,2015,2015,Philippines,,57,0.57362,,,,,
13,UHC_SCI_RMNCH,"UHC SCI components: Reproductive, maternal, newborn and child health",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834,PUBLISHED,Published,,2017,2017,,WPR,Western Pacific,,PHL,2017,2017,Philippines,,69,0.68718,,,,,
14,UHC_SCI_INFECT,UHC SCI components:  Infectious diseases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834,PUBLISHED,Published,,2017,2017,,WPR,Western Pacific,,PHL,2017,2017,Philippines,,53,0.52578,,,,,
15,UHC_SCI_NCD,UHC SCI components: Noncommunicable diseases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834,PUBLISHED,Published,,2017,2017,,WPR,Western Pacific,,PHL,2017,2017,Philippines,,64,0.64415,,,,,
16,UHC_SCI_CAPACITY,UHC SCI components: Service capacity and access,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834,PUBLISHED,Published,,2017,2017,,WPR,Western Pacific,,PHL,2017,2017,Philippines,,58,0.57919,,,,,
17,UHC_INDEX_REPORTED,UHC index of service coverage (SCI),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834,PUBLISHED,Published,,2017,2017,,WPR,Western Pacific,,PHL,2017,2017,Philippines,,61,0.60593,,,,,
18,UHC_AVAILABILITY_SCORE,Data availability for UHC index of service coverage,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4833,PUBLISHED,Published,,2013-2017,2013-2017,,WPR,Western Pacific,,PHL,2013,2017,Philippines,,49,0.48571,,,,,
19,UHC_DATA_AVAIL_CODE,Data availability for UHC index of service coverage (ranking),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4832,PUBLISHED,Published,,2013-2017,2013-2017,,WPR,Western Pacific,,PHL,2013,2017,Philippines,,high,,,,,,
