index,GHO (CODE),GHO (DISPLAY),GHO (URL),DATASOURCE (CODE),DATASOURCE (DISPLAY),DATASOURCE (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),STARTYEAR,ENDYEAR,REGION (DISPLAY),REGION (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),AGEGROUP (CODE),AGEGROUP (DISPLAY),AGEGROUP (URL),EDUCATIONLEVEL (CODE),EDUCATIONLEVEL (DISPLAY),EDUCATIONLEVEL (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),RESIDENCEAREATYPE (CODE),RESIDENCEAREATYPE (DISPLAY),RESIDENCEAREATYPE (URL),WEALTHQUINTILE (CODE),WEALTHQUINTILE (DISPLAY),WEALTHQUINTILE (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
0,#indicator+code,#indicator+name,#indicator+url,,#meta+source,,#status+code,#status+name,,,#date+year,,#region+code,#date+year+start,#date+year+end,#region+name,,#country+code,#country+name,,,,,,,,#sex+code,#sex+name,,,,,,,,,#indicator+value+num,,,,,
1,AIR_3,Percentage of the total population living in cities > 100'000 inhabitants,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2004.0,2004,,WPR,2004,2004,Western Pacific,,PHL,Philippines,,,,,,,,,,,,,,,,,41.0,40.96000,,,,,
2,EQ_SLUM,Proportion of urban residents living in a slum area,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2476,,,,PUBLISHED,Published,,2009.0,2009,,WPR,2009,2009,Western Pacific,,PHL,Philippines,,,,,,,,,,,,,,,,,40.9,40.90000,,,,,
3,EQ_WATERPIPED,Households using a piped drinking-water source (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4443,,,,PUBLISHED,Published,,1993.0,1993,,WPR,1993,1993,Western Pacific,,PHL,Philippines,,,,,,,,,,,,,,,,,37.4,0.37417,,,,,
4,EQ_WATERPIPED,Households using a piped drinking-water source (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4443,,,,PUBLISHED,Published,,1998.0,1998,,WPR,1998,1998,Western Pacific,,PHL,Philippines,,,,,,,,,,,,,,,,,48.4,0.48364,,,,,
5,EQ_WATERPIPED,Households using a piped drinking-water source (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4443,,,,PUBLISHED,Published,,2003.0,2003,,WPR,2003,2003,Western Pacific,,PHL,Philippines,,,,,,,,,,,,,,,,,52.7,0.52714,,,,,
6,EQ_WATERPIPED,Households using a piped drinking-water source (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4443,,,,PUBLISHED,Published,,2003.0,2003,,WPR,2003,2003,Western Pacific,,PHL,Philippines,,,,,,,,,,,URB,Urban,,,,,66.9,0.66920,,,,,
7,EQ_WATERPIPED,Households using a piped drinking-water source (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4443,,,,PUBLISHED,Published,,2008.0,2008,,WPR,2008,2008,Western Pacific,,PHL,Philippines,,,,,,,,,,,URB,Urban,,,,,41.4,0.41404,,,,,
8,EQ_WATERPIPED,Households using a piped drinking-water source (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4443,,,,PUBLISHED,Published,,1993.0,1993,,WPR,1993,1993,Western Pacific,,PHL,Philippines,,,,,,,,,,,,,,WQ1,Q1 (Poorest),,24.2,0.24160,,,,,
9,EQ_WATERPIPED,Households using a piped drinking-water source (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4443,,,,PUBLISHED,Published,,1993.0,1993,,WPR,1993,1993,Western Pacific,,PHL,Philippines,,,,,,,,,,,,,,WQ2,Q2,,43.8,0.43795,,,,,
10,EQ_WATERPIPED,Households using a piped drinking-water source (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4443,,,,PUBLISHED,Published,,1998.0,1998,,WPR,1998,1998,Western Pacific,,PHL,Philippines,,,,,,,,,,,,,,WQ2,Q2,,58.3,0.58275,,,,,
11,EQ_WATERPIPED,Households using a piped drinking-water source (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4443,,,,PUBLISHED,Published,,2003.0,2003,,WPR,2003,2003,Western Pacific,,PHL,Philippines,,,,,,,,,,,,,,WQ2,Q2,,65.8,0.65813,,,,,
12,EQ_WATERPIPED,Households using a piped drinking-water source (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4443,,,,PUBLISHED,Published,,2008.0,2008,,WPR,2008,2008,Western Pacific,,PHL,Philippines,,,,,,,,,,,,,,WQ2,Q2,,46.6,0.46570,,,,,
13,EQ_WATERPIPED,Households using a piped drinking-water source (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4443,,,,PUBLISHED,Published,,2008.0,2008,,WPR,2008,2008,Western Pacific,,PHL,Philippines,,,,,,,,,,,,,,WQ3,Q3,,50.4,0.50442,,,,,
14,EQ_WATERPIPED,Households using a piped drinking-water source (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4443,,,,PUBLISHED,Published,,1993.0,1993,,WPR,1993,1993,Western Pacific,,PHL,Philippines,,,,,,,,,,,,,,WQ4,Q4,,69.1,0.69059,,,,,
15,EQ_WATERPIPED,Households using a piped drinking-water source (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4443,,,,PUBLISHED,Published,,2003.0,2003,,WPR,2003,2003,Western Pacific,,PHL,Philippines,,,,,,,,,,,,,,WQ5,Q5 (Richest),,68.4,0.68441,,,,,
16,EQ_WATERPIPED,Households using a piped drinking-water source (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4443,,,,PUBLISHED,Published,,2008.0,2008,,WPR,2008,2008,Western Pacific,,PHL,Philippines,,,,,,,,,,,,,,WQ5,Q5 (Richest),,29.8,0.29825,,,,,
17,EQ_WATERPIPED,Households using a piped drinking-water source (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4443,,,,PUBLISHED,Published,,2003.0,2003,,WPR,2003,2003,Western Pacific,,PHL,Philippines,,YEARS12+,12+  years,,,,,,,,,,,,,,68.9,0.68877,,,,,
18,EQ_WATERPIPED,Households using a piped drinking-water source (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4443,,,,PUBLISHED,Published,,2008.0,2008,,WPR,2008,2008,Western Pacific,,PHL,Philippines,,YEARS12+,12+  years,,,,,,,,,,,,,,35.4,0.35381,,,,,
19,EQ_WATERPIPED,Households using a piped drinking-water source (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4443,,,,PUBLISHED,Published,,1993.0,1993,,WPR,1993,1993,Western Pacific,,PHL,Philippines,,YEARS6-11,6-11 years,,,,,,,,,,,,,,51.4,0.51354,,,,,
